elapsed_seconds,scenario,rustdesk_cpu_percent,rustdesk_rss_kb,windowserver_cpu_percent,windowserver_rss_kb,videotoolboxd_cpu_percent,videotoolboxd_rss_kb,vt_encoder_xpc_cpu_percent,vt_encoder_xpc_rss_kb,thermal_pressure,power_source
0,normal,31.1,282288,32.0,429872,0.0,0,1.1,29200,nominal,AC Power
1,normal,40.7,282352,42.4,433536,0.0,0,0.9,29200,nominal,AC Power
2,normal,35.5,282432,42.0,433968,0.0,0,1.0,29200,nominal,AC Power
3,normal,37.3,282528,50.6,433968,0.0,0,1.0,29200,nominal,AC Power
4,normal,39.0,282592,38.5,434512,0.0,0,1.1,29200,nominal,AC Power
5,normal,36.5,282656,43.0,435296,0.0,0,1.2,29200,nominal,AC Power
6,normal,34.9,282752,36.9,435648,0.0,0,1.4,29200,nominal,AC Power
8,normal,31.6,282816,46.1,436128,0.0,0,0.9,29200,nominal,AC Power
9,normal,33.7,282880,30.5,436128,0.0,0,1.1,29200,nominal,AC Power
10,normal,36.6,282992,33.7,436320,0.0,0,1.1,29200,nominal,AC Power
11,normal,34.9,283040,35.7,436400,0.0,0,1.2,29200,nominal,AC Power
12,normal,36.9,283680,36.5,436432,0.0,0,1.3,29200,nominal,AC Power
13,normal,35.6,283760,38.6,436448,0.0,0,1.3,29200,nominal,AC Power
15,normal,35.7,283824,37.7,436528,0.0,0,1.1,29200,nominal,AC Power
16,normal,33.3,283920,34.0,436528,0.0,0,1.1,29200,nominal,AC Power
17,normal,36.5,283968,35.4,436640,0.0,0,1.3,29200,nominal,AC Power
18,normal,35.9,284064,38.8,436672,0.0,0,1.2,29200,nominal,AC Power
19,normal,36.0,284128,37.9,436448,0.0,0,1.3,29200,nominal,AC Power
20,normal,34.0,284208,37.6,436704,0.0,0,1.3,29200,nominal,AC Power
21,normal,36.4,284288,38.1,436704,0.0,0,1.1,29200,nominal,AC Power
23,normal,34.5,284336,38.4,436528,0.0,0,1.1,29216,nominal,AC Power
24,normal,34.7,284400,36.1,436688,0.0,0,1.1,29216,nominal,AC Power
25,normal,34.1,284496,30.7,436704,0.0,0,1.1,29216,nominal,AC Power
26,normal,33.8,284544,36.2,436784,0.0,0,1.1,29216,nominal,AC Power
27,normal,33.3,284624,35.4,437008,0.0,0,1.1,29216,nominal,AC Power
28,normal,35.4,284704,39.1,437008,0.0,0,1.2,29216,nominal,AC Power
29,normal,33.7,284784,37.5,437008,0.0,0,1.3,29216,nominal,AC Power
31,normal,34.3,285280,41.7,437168,0.0,0,1.3,29216,nominal,AC Power
32,normal,36.8,285344,37.9,437344,0.0,0,1.2,29216,nominal,AC Power
33,normal,38.1,285440,35.7,437104,0.0,0,1.1,29184,nominal,AC Power
34,normal,37.1,283344,35.0,436176,0.0,0,1.1,29088,nominal,AC Power
35,normal,32.8,283376,37.6,436192,0.0,0,1.2,29088,nominal,AC Power
36,normal,36.1,283456,34.5,436304,0.0,0,1.1,29088,nominal,AC Power
38,normal,36.6,283536,37.0,436320,0.0,0,1.1,29088,nominal,AC Power
39,normal,33.2,285264,38.5,436304,0.0,0,1.2,29088,nominal,AC Power
40,normal,32.9,285376,35.1,436320,0.0,0,1.2,29088,nominal,AC Power
41,normal,33.5,285472,38.2,436592,0.0,0,1.1,29088,nominal,AC Power
42,normal,32.3,285232,39.3,435216,0.0,0,1.1,29056,nominal,AC Power
43,normal,31.3,284400,38.6,426112,0.0,0,1.2,28864,nominal,AC Power
44,normal,36.6,284304,34.4,429632,0.0,0,1.2,28880,nominal,AC Power
46,normal,32.2,286864,41.1,464128,0.0,0,1.0,28800,nominal,AC Power
47,normal,39.5,287168,52.8,469360,0.0,0,1.3,28896,nominal,AC Power
48,normal,34.2,287296,31.6,470128,0.0,0,1.1,28896,nominal,AC Power
49,normal,36.0,287408,41.3,470848,0.0,0,1.2,28848,nominal,AC Power
50,normal,32.1,285200,35.9,475856,0.0,0,1.2,28880,nominal,AC Power
51,normal,38.6,285248,43.7,475840,0.0,0,1.0,28832,nominal,AC Power
53,normal,39.0,285248,45.4,475920,0.0,0,1.0,28832,nominal,AC Power
54,normal,35.5,285312,51.5,475968,0.0,0,1.0,28864,nominal,AC Power
55,normal,36.3,282480,42.0,470448,0.0,0,1.1,28864,nominal,AC Power
56,normal,36.1,281712,32.3,467760,0.0,0,1.3,28928,nominal,AC Power
57,normal,36.8,277952,37.1,454208,0.0,0,1.2,28496,nominal,AC Power
58,normal,32.1,278496,40.9,461392,0.0,0,1.1,28912,nominal,AC Power
60,normal,36.9,278752,33.4,462016,0.0,0,1.3,28912,nominal,AC Power
61,normal,34.2,278976,40.6,464032,0.0,0,1.3,28912,nominal,AC Power
62,normal,37.3,279232,40.1,464144,0.0,0,1.1,28912,nominal,AC Power
63,normal,35.9,279440,39.2,464304,0.0,0,1.1,28912,nominal,AC Power
64,normal,35.8,279568,45.0,467024,0.0,0,1.3,28912,nominal,AC Power
65,normal,32.9,279696,38.3,469344,0.0,0,1.2,28912,nominal,AC Power
66,normal,37.4,280864,48.7,469280,0.0,0,1.3,28928,nominal,AC Power
68,normal,36.5,280928,42.7,469472,0.0,0,1.1,28928,nominal,AC Power
69,normal,38.4,281040,46.8,470464,0.0,0,1.0,28944,nominal,AC Power
70,normal,39.6,281136,45.2,470960,0.0,0,1.1,28944,nominal,AC Power
71,normal,31.8,281184,35.4,471008,0.0,0,1.2,28944,nominal,AC Power
72,normal,36.1,281248,43.7,471136,0.0,0,1.1,28944,nominal,AC Power
73,normal,33.4,281328,38.2,471152,0.0,0,1.0,28944,nominal,AC Power
75,normal,32.8,281376,43.3,471728,0.0,0,1.0,28944,nominal,AC Power
76,normal,36.2,281456,36.7,472544,0.0,0,1.2,28944,nominal,AC Power
77,normal,37.3,281568,44.2,472768,0.0,0,1.1,28944,nominal,AC Power
78,normal,40.5,281632,45.9,473280,0.0,0,1.0,28944,nominal,AC Power
79,normal,35.9,281696,39.8,473360,0.0,0,1.2,28944,nominal,AC Power
80,normal,39.0,281824,44.0,473216,0.0,0,1.0,28960,nominal,AC Power
82,normal,33.2,281840,37.7,472960,0.0,0,1.2,28960,nominal,AC Power
83,normal,37.8,281904,43.5,472960,0.0,0,1.0,28960,nominal,AC Power
84,normal,32.5,282000,32.6,473152,0.0,0,1.2,28960,nominal,AC Power
85,normal,36.4,282464,43.1,473056,0.0,0,1.1,28960,nominal,AC Power
86,normal,33.8,282528,47.7,473072,0.0,0,0.9,28960,nominal,AC Power
87,normal,34.8,282592,36.4,473504,0.0,0,1.1,28960,nominal,AC Power
88,normal,38.6,282688,45.0,473872,0.0,0,1.1,28960,nominal,AC Power
90,normal,31.9,282736,52.2,473856,0.0,0,1.2,28960,nominal,AC Power
91,normal,37.2,282800,51.7,473936,0.0,0,0.9,28960,nominal,AC Power
92,normal,36.6,282896,42.2,473936,0.0,0,0.9,28960,nominal,AC Power
93,normal,33.4,282960,40.7,473968,0.0,0,1.0,28960,nominal,AC Power
94,normal,36.0,283024,37.4,474016,0.0,0,1.0,28976,nominal,AC Power
95,normal,33.4,283136,36.3,473664,0.0,0,1.1,28976,nominal,AC Power
97,normal,31.7,283200,37.3,473872,0.0,0,1.2,29024,nominal,AC Power
98,normal,33.8,282000,39.2,458576,0.0,0,1.1,29024,nominal,AC Power
99,normal,36.0,281088,44.5,451488,0.0,0,1.0,29024,nominal,AC Power
100,normal,30.1,280800,38.1,449024,0.0,0,1.3,29024,nominal,AC Power
101,normal,34.2,280896,31.4,449072,0.0,0,1.3,29024,nominal,AC Power
102,normal,34.9,281424,40.4,448944,0.0,0,1.2,29024,nominal,AC Power
104,normal,31.5,281216,27.0,442496,0.0,0,1.2,28944,nominal,AC Power
105,normal,37.2,280976,42.2,442240,0.0,0,1.0,28944,nominal,AC Power
106,normal,36.7,281072,43.9,442544,0.0,0,1.2,28944,nominal,AC Power
107,normal,35.2,281152,52.1,443680,0.0,0,1.0,28944,nominal,AC Power
108,normal,36.3,281216,33.5,443680,0.0,0,1.1,28944,nominal,AC Power
109,normal,34.0,281296,35.6,443792,0.0,0,1.2,28928,nominal,AC Power
111,normal,30.4,282000,64.4,465792,0.0,0,0.9,28992,nominal,AC Power
112,normal,33.8,282272,30.6,468176,0.0,0,1.2,29024,nominal,AC Power
113,normal,35.5,282416,29.8,468784,0.0,0,1.2,29056,nominal,AC Power
114,normal,34.5,282464,37.7,468704,0.0,0,1.0,29040,nominal,AC Power
115,normal,33.7,282608,30.6,469360,0.0,0,1.1,29072,nominal,AC Power
116,normal,32.0,282656,34.1,469920,0.0,0,1.3,29056,nominal,AC Power
118,normal,35.3,282672,37.2,468944,0.0,0,1.2,29056,nominal,AC Power
119,normal,36.2,282640,23.5,469280,0.0,0,1.1,29056,nominal,AC Power
120,normal,31.2,282704,32.9,468880,0.0,0,1.1,29024,nominal,AC Power
121,normal,34.2,283520,30.1,469728,0.0,0,1.4,29104,nominal,AC Power
122,normal,32.4,283552,29.6,469856,0.0,0,1.1,29056,nominal,AC Power
123,normal,33.4,283648,25.0,470192,0.0,0,1.4,29088,nominal,AC Power
124,normal,36.6,283760,25.7,470256,0.0,0,1.3,29104,nominal,AC Power
126,normal,32.5,283792,33.8,470304,0.0,0,1.3,29072,nominal,AC Power
127,normal,34.4,283888,31.4,470480,0.0,0,1.1,29104,nominal,AC Power
128,normal,38.1,283952,17.2,470704,0.0,0,1.1,29072,nominal,AC Power
129,normal,37.3,284048,28.1,471184,0.0,0,1.1,29120,nominal,AC Power
130,normal,34.4,284128,55.9,473808,0.0,0,1.0,29280,nominal,AC Power
131,normal,36.2,284928,36.9,476176,0.0,0,1.1,29120,nominal,AC Power
133,normal,36.6,284928,28.7,474496,0.0,0,1.1,29056,nominal,AC Power
134,normal,30.0,284880,32.1,474416,0.0,0,1.1,29040,nominal,AC Power
135,normal,36.6,285024,24.8,475424,0.0,0,1.3,29088,nominal,AC Power
136,normal,37.3,285040,24.7,475456,0.0,0,1.1,29024,nominal,AC Power
137,normal,34.7,285088,35.9,475328,0.0,0,1.3,29040,nominal,AC Power
138,normal,37.1,285712,33.7,475312,0.0,0,1.4,29056,nominal,AC Power
139,normal,36.0,285760,30.8,475504,0.0,0,1.2,29024,nominal,AC Power
141,normal,34.7,285840,33.3,475680,0.0,0,1.3,29056,nominal,AC Power
142,normal,31.2,285888,33.6,476000,0.0,0,1.2,29024,nominal,AC Power
143,normal,36.5,286048,36.6,475744,0.0,0,1.2,29056,nominal,AC Power
144,normal,37.3,286128,32.2,475968,0.0,0,1.3,29024,nominal,AC Power
145,normal,38.5,286256,34.0,475872,0.0,0,1.1,29040,nominal,AC Power
146,normal,36.3,286304,36.0,475952,0.0,0,1.2,29024,nominal,AC Power
148,normal,38.7,286368,34.8,476096,0.0,0,1.1,29040,nominal,AC Power
149,normal,33.3,286368,33.7,476144,0.0,0,1.2,29024,nominal,AC Power
150,normal,34.5,286464,33.3,476432,0.0,0,1.2,29040,nominal,AC Power
151,normal,32.1,286544,33.7,476496,0.0,0,1.1,29216,nominal,AC Power
152,normal,32.8,287152,42.0,478016,0.0,0,1.2,29056,nominal,AC Power
153,normal,33.9,287248,34.0,478048,0.0,0,1.3,29056,nominal,AC Power
155,normal,38.0,287280,31.8,478096,0.0,0,1.2,29056,nominal,AC Power
156,normal,32.5,287360,34.2,478176,0.0,0,1.2,29136,nominal,AC Power
157,normal,34.9,287712,37.2,477872,0.0,0,1.2,29104,nominal,AC Power
158,normal,32.7,287824,40.7,477840,0.0,0,1.3,29152,nominal,AC Power
159,normal,36.2,287840,37.4,477920,0.0,0,1.1,29104,nominal,AC Power
160,normal,33.4,287936,28.3,477936,0.0,0,1.4,29104,nominal,AC Power
161,normal,35.8,287936,35.7,478080,0.0,0,1.2,29088,nominal,AC Power
163,normal,35.0,288016,27.9,478256,0.0,0,1.3,29104,nominal,AC Power
164,normal,37.3,288144,32.7,478096,0.0,0,1.1,29136,nominal,AC Power
165,normal,32.1,286944,19.0,476416,0.0,0,1.1,29088,nominal,AC Power
166,normal,36.7,287296,41.9,476256,0.0,0,1.1,29136,nominal,AC Power
167,normal,37.9,287312,36.6,476272,0.0,0,1.2,29088,nominal,AC Power
168,normal,36.5,287440,37.4,476784,0.0,0,1.3,29120,nominal,AC Power
170,normal,29.2,286400,39.6,475856,0.0,0,1.2,29088,nominal,AC Power
171,normal,32.6,286384,38.3,475552,0.0,0,1.1,29136,nominal,AC Power
172,normal,33.8,286528,46.9,477072,0.0,0,1.2,29296,nominal,AC Power
173,normal,35.7,287072,32.4,479200,0.0,0,1.0,29120,nominal,AC Power
174,normal,37.7,287152,34.2,479216,0.0,0,1.2,29152,nominal,AC Power
175,normal,34.5,287968,28.9,479264,0.0,0,1.0,29120,nominal,AC Power
177,normal,33.4,288064,30.7,478720,0.0,0,1.0,29168,nominal,AC Power
178,normal,30.9,286352,29.2,477552,0.0,0,1.1,29040,nominal,AC Power
179,normal,40.6,286480,37.8,477920,0.0,0,1.3,29056,nominal,AC Power
180,normal,38.4,286512,32.9,477936,0.0,0,1.3,29040,nominal,AC Power
181,normal,34.1,288320,30.0,478256,0.0,0,1.2,29056,nominal,AC Power
182,normal,27.4,288384,35.8,478848,0.0,0,1.2,29072,nominal,AC Power
183,normal,36.7,288464,22.9,478960,0.0,0,1.0,29056,nominal,AC Power
185,normal,35.4,288560,23.0,479024,0.0,0,1.2,29072,nominal,AC Power
186,normal,35.3,288576,29.5,479184,0.0,0,1.2,29040,nominal,AC Power
187,normal,36.2,289296,27.8,479152,0.0,0,1.1,29072,nominal,AC Power
188,normal,37.1,289328,26.8,479104,0.0,0,1.2,29072,nominal,AC Power
189,normal,35.0,289392,32.3,479104,0.0,0,1.0,29056,nominal,AC Power
190,normal,34.4,289488,31.5,479104,0.0,0,1.2,29072,nominal,AC Power
192,normal,38.6,289520,34.6,479120,0.0,0,1.5,29040,nominal,AC Power
193,normal,30.6,290464,69.9,481232,0.0,0,1.1,29296,nominal,AC Power
194,normal,36.2,290368,39.9,481344,0.0,0,1.1,29056,nominal,AC Power
195,normal,35.0,290448,33.7,481408,0.0,0,1.1,29104,nominal,AC Power
196,normal,33.8,290464,28.8,481392,0.0,0,1.1,29056,nominal,AC Power
197,normal,34.9,290608,37.6,481392,0.0,0,1.2,29088,nominal,AC Power
199,normal,39.5,290608,33.9,481408,0.0,0,1.1,29072,nominal,AC Power
200,normal,38.7,290640,29.4,480896,0.0,0,1.2,29104,nominal,AC Power
201,normal,36.6,290608,34.6,480928,0.0,0,1.1,29072,nominal,AC Power
202,normal,31.2,290640,28.2,480928,0.0,0,1.0,29088,nominal,AC Power
203,normal,34.6,290480,32.3,481136,0.0,0,1.2,29088,nominal,AC Power
204,normal,36.4,290464,32.1,481136,0.0,0,1.2,29072,nominal,AC Power
206,normal,32.6,290496,32.6,481168,0.0,0,1.2,29120,nominal,AC Power
207,normal,37.8,290464,29.3,481168,0.0,0,1.3,29072,nominal,AC Power
208,normal,36.9,290528,38.2,481216,0.0,0,1.1,29104,nominal,AC Power
209,normal,35.1,290464,38.7,481248,0.0,0,1.2,29072,nominal,AC Power
210,normal,33.3,288736,32.9,482128,0.0,0,1.4,29088,nominal,AC Power
211,normal,36.2,288576,35.4,480208,0.0,0,1.6,29072,nominal,AC Power
213,normal,38.8,288576,35.7,575632,0.0,0,1.2,29056,nominal,AC Power
214,normal,31.9,288640,62.1,579808,0.0,0,1.0,29280,nominal,AC Power
215,normal,35.2,288448,36.9,580272,0.0,0,1.0,29040,nominal,AC Power
216,normal,34.4,286752,31.1,578448,0.0,0,1.2,29008,nominal,AC Power
217,normal,28.3,286736,29.1,578640,0.0,0,1.0,28976,nominal,AC Power
218,normal,34.7,286240,34.8,577008,0.0,0,1.2,29008,nominal,AC Power
220,normal,33.0,285616,31.2,576304,0.0,0,1.3,29056,nominal,AC Power
221,normal,35.3,285568,29.6,576320,0.0,0,1.8,29824,nominal,AC Power
222,normal,38.4,288432,34.9,575968,0.0,0,1.2,29664,nominal,AC Power
223,normal,35.7,288464,36.5,576336,0.0,0,1.4,29712,nominal,AC Power
224,normal,35.4,285808,25.5,572848,0.0,0,1.3,29440,nominal,AC Power
