elapsed_seconds,scenario,rustdesk_cpu_percent,rustdesk_rss_kb,windowserver_cpu_percent,windowserver_rss_kb,videotoolboxd_cpu_percent,videotoolboxd_rss_kb,vt_encoder_xpc_cpu_percent,vt_encoder_xpc_rss_kb,thermal_pressure,power_source
0,scroll,34.7,317472,22.9,476976,0.0,0,1.4,29312,nominal,AC Power
1,scroll,37.6,317648,25.7,477088,0.0,0,1.4,29312,nominal,AC Power
2,scroll,39.0,317616,42.2,477296,0.0,0,1.4,29280,nominal,AC Power
3,scroll,42.5,317648,39.9,477312,0.0,0,1.3,29184,nominal,AC Power
4,scroll,37.5,317728,21.4,477328,0.0,0,0.9,29296,nominal,AC Power
5,scroll,41.2,317760,35.9,477392,0.0,0,1.2,29376,nominal,AC Power
6,scroll,38.9,317728,40.2,477408,0.0,0,1.3,29248,nominal,AC Power
8,scroll,38.1,318032,20.6,477584,0.0,0,1.4,29328,nominal,AC Power
9,scroll,37.7,317824,21.7,477760,0.0,0,1.5,29088,nominal,AC Power
10,scroll,36.1,318240,37.5,478032,0.0,0,1.5,29264,nominal,AC Power
11,scroll,9.7,318112,24.0,478048,0.0,0,0.7,29056,nominal,AC Power
12,scroll,36.4,318112,23.8,477552,0.0,0,1.5,29072,nominal,AC Power
13,scroll,1.1,318160,40.5,478064,0.0,0,0.0,29136,nominal,AC Power
14,scroll,11.3,318208,37.7,478160,0.0,0,0.5,29104,nominal,AC Power
16,scroll,0.7,318256,20.7,477824,0.0,0,0.0,29104,nominal,AC Power
17,scroll,0.3,318336,35.8,477568,0.0,0,0.0,29104,nominal,AC Power
18,scroll,12.0,318416,37.8,477664,0.0,0,1.6,29104,nominal,AC Power
19,scroll,13.7,318464,35.1,477872,0.0,0,1.8,29104,nominal,AC Power
20,scroll,0.7,318544,21.5,477616,0.0,0,0.0,29104,nominal,AC Power
21,scroll,4.2,318624,37.4,477744,0.0,0,0.3,29104,nominal,AC Power
23,scroll,0.4,318688,36.2,477744,0.0,0,0.0,29104,nominal,AC Power
24,scroll,0.3,318752,12.4,477632,0.0,0,0.0,29104,nominal,AC Power
25,scroll,2.5,318816,40.3,477824,0.0,0,0.0,29104,nominal,AC Power
26,scroll,0.5,318960,33.6,477744,0.0,0,0.0,29104,nominal,AC Power
27,scroll,9.4,319024,31.8,477840,0.0,0,1.7,29104,nominal,AC Power
28,scroll,0.7,319088,21.6,477744,0.0,0,0.0,29104,nominal,AC Power
30,scroll,4.8,319184,39.7,478128,0.0,0,1.0,29104,nominal,AC Power
31,scroll,4.6,319280,32.7,478064,0.0,0,0.5,29104,nominal,AC Power
32,scroll,1.4,319328,15.4,478064,0.0,0,0.0,29104,nominal,AC Power
33,scroll,0.5,319376,28.4,478064,0.0,0,0.0,29104,nominal,AC Power
34,scroll,2.1,319456,38.8,478000,0.0,0,0.1,29104,nominal,AC Power
35,scroll,6.7,319504,26.4,478304,0.0,0,0.7,29104,nominal,AC Power
37,scroll,11.0,319520,22.6,478048,0.0,0,0.4,29104,nominal,AC Power
38,scroll,4.3,319616,38.8,478016,0.0,0,0.3,29104,nominal,AC Power
39,scroll,0.5,311888,37.2,476416,0.0,0,0.0,29088,nominal,AC Power
40,scroll,12.2,318672,22.8,476400,0.0,0,2.0,29088,nominal,AC Power
41,scroll,4.2,313216,34.5,476368,0.0,0,0.3,29088,nominal,AC Power
42,scroll,0.7,313264,34.9,476208,0.0,0,0.0,29088,nominal,AC Power
44,scroll,3.3,318864,27.8,476272,0.0,0,0.1,29088,nominal,AC Power
45,scroll,8.4,318960,26.7,476384,0.0,0,1.0,29088,nominal,AC Power
46,scroll,2.1,319024,35.8,476464,0.0,0,0.1,29088,nominal,AC Power
47,scroll,39.4,324240,38.0,476800,0.0,0,1.1,30688,nominal,AC Power
48,scroll,39.8,323280,25.2,476816,0.0,0,0.9,29920,nominal,AC Power
49,scroll,39.9,323536,34.0,476944,0.0,0,1.2,29664,nominal,AC Power
51,scroll,34.2,323328,38.0,477200,0.0,0,1.6,29552,nominal,AC Power
52,scroll,39.5,323600,36.6,477248,0.0,0,1.1,29504,nominal,AC Power
53,scroll,38.5,323472,30.5,477312,0.0,0,1.2,29536,nominal,AC Power
54,scroll,38.9,323472,43.7,477008,0.0,0,1.4,29472,nominal,AC Power
55,scroll,44.3,323696,40.3,476896,0.0,0,1.4,29600,nominal,AC Power
56,scroll,40.1,323664,25.3,477008,0.0,0,1.2,29504,nominal,AC Power
58,scroll,39.9,323792,31.8,477072,0.0,0,1.4,29664,nominal,AC Power
59,scroll,38.6,324032,41.4,477040,0.0,0,1.5,29712,nominal,AC Power
60,scroll,34.4,323872,36.5,477216,0.0,0,1.3,29776,nominal,AC Power
61,scroll,38.1,323920,26.8,476944,0.0,0,1.0,29488,nominal,AC Power
62,scroll,42.6,324160,42.7,477040,0.0,0,1.1,29680,nominal,AC Power
63,scroll,36.1,324208,38.2,477056,0.0,0,1.4,29648,nominal,AC Power
65,scroll,37.9,324304,28.5,477056,0.0,0,1.4,29712,nominal,AC Power
66,scroll,41.1,324176,32.3,477280,0.0,0,1.0,29488,nominal,AC Power
67,scroll,44.0,324368,41.6,477328,0.0,0,1.4,29632,nominal,AC Power
68,scroll,36.3,324320,38.4,477344,0.0,0,1.4,29504,nominal,AC Power
69,scroll,41.6,324576,29.9,478576,0.0,0,1.2,29792,nominal,AC Power
71,scroll,39.5,324528,41.7,478592,0.0,0,1.4,29296,nominal,AC Power
72,scroll,31.3,324608,40.1,478704,0.0,0,1.2,29568,nominal,AC Power
73,scroll,4.8,324352,10.4,478496,0.0,0,0.2,29232,nominal,AC Power
74,scroll,19.7,324432,33.3,478528,0.0,0,1.8,29280,nominal,AC Power
75,scroll,5.6,324400,40.8,478560,0.0,0,0.7,29184,nominal,AC Power
76,scroll,4.7,324480,32.9,478624,0.0,0,0.4,29184,nominal,AC Power
78,scroll,0.4,324528,18.5,478624,0.0,0,0.0,29184,nominal,AC Power
79,scroll,1.2,324608,41.9,478656,0.0,0,0.0,29184,nominal,AC Power
80,scroll,2.2,324704,37.5,478624,0.0,0,0.0,29184,nominal,AC Power
81,scroll,14.4,324768,21.6,478544,0.0,0,1.7,29184,nominal,AC Power
82,scroll,0.8,324848,33.3,478544,0.0,0,0.0,29184,nominal,AC Power
83,scroll,0.7,324944,36.4,478544,0.0,0,0.0,29184,nominal,AC Power
84,scroll,6.7,324992,32.6,478256,0.0,0,0.7,29184,nominal,AC Power
86,scroll,0.5,325056,16.5,478432,0.0,0,0.2,29184,nominal,AC Power
87,scroll,1.6,325136,39.4,478448,0.0,0,0.0,29184,nominal,AC Power
88,scroll,1.6,325200,32.2,478272,0.0,0,0.0,29184,nominal,AC Power
89,scroll,0.5,325264,11.8,478176,0.0,0,0.0,29184,nominal,AC Power
90,scroll,8.4,325344,31.7,478240,0.0,0,0.3,29184,nominal,AC Power
91,scroll,0.8,324240,35.7,475728,0.0,0,0.5,29152,nominal,AC Power
93,scroll,0.9,324288,32.6,475744,0.0,0,0.0,29152,nominal,AC Power
94,scroll,8.0,324384,17.9,475808,0.0,0,1.4,29152,nominal,AC Power
95,scroll,2.8,324432,37.4,476016,0.0,0,0.2,29152,nominal,AC Power
96,scroll,0.4,324480,33.8,475936,0.0,0,0.0,29152,nominal,AC Power
97,scroll,3.7,324560,22.3,475808,0.0,0,0.4,29152,nominal,AC Power
98,scroll,0.4,324624,23.8,475792,0.0,0,0.0,29152,nominal,AC Power
100,scroll,0.5,324672,36.6,475696,0.0,0,0.0,29152,nominal,AC Power
101,scroll,0.8,292368,26.6,475760,0.0,0,0.4,29152,nominal,AC Power
102,scroll,1.1,291680,24.9,475744,0.0,0,0.0,29152,nominal,AC Power
103,scroll,12.2,291920,41.0,475808,0.0,0,1.2,29136,nominal,AC Power
104,scroll,0.6,291968,33.5,475840,0.0,0,0.0,29136,nominal,AC Power
105,scroll,0.6,292032,15.2,475552,0.0,0,0.0,29136,nominal,AC Power
107,scroll,35.8,296976,32.4,475840,0.0,0,1.0,31680,nominal,AC Power
108,scroll,41.9,296560,40.6,475840,0.0,0,1.1,30768,nominal,AC Power
109,scroll,42.7,296000,36.6,476016,0.0,0,1.1,30016,nominal,AC Power
110,scroll,39.7,296000,24.3,476112,0.0,0,1.1,29936,nominal,AC Power
111,scroll,42.3,296000,42.3,476192,0.0,0,1.3,29808,nominal,AC Power
112,scroll,41.1,295888,40.6,476224,0.0,0,1.4,29744,nominal,AC Power
114,scroll,40.8,296064,31.7,476336,0.0,0,1.1,29744,nominal,AC Power
115,scroll,40.8,296064,38.0,476352,0.0,0,1.3,29776,nominal,AC Power
116,scroll,40.8,296288,36.1,476608,0.0,0,1.3,29920,nominal,AC Power
117,scroll,35.6,296176,41.6,480416,0.0,0,1.5,29584,nominal,AC Power
118,scroll,38.1,296320,25.1,480432,0.0,0,1.1,29728,nominal,AC Power
120,scroll,34.9,296288,43.4,480432,0.0,0,1.0,29600,nominal,AC Power
121,scroll,41.4,296400,40.2,480432,0.0,0,1.3,29744,nominal,AC Power
122,scroll,43.1,296624,28.2,480480,0.0,0,1.0,29792,nominal,AC Power
123,scroll,42.1,296560,39.4,480480,0.0,0,1.6,29680,nominal,AC Power
124,scroll,42.6,296608,45.5,480512,0.0,0,1.4,29680,nominal,AC Power
125,scroll,38.9,296640,42.2,480560,0.0,0,1.7,29648,nominal,AC Power
127,scroll,38.2,296640,36.1,480560,0.0,0,1.0,29600,nominal,AC Power
128,scroll,38.9,296832,39.4,480560,0.0,0,1.1,29696,nominal,AC Power
129,scroll,41.6,296768,39.9,480560,0.0,0,1.4,29648,nominal,AC Power
130,scroll,36.2,297008,32.0,480560,0.0,0,1.4,29664,nominal,AC Power
131,scroll,14.5,296720,29.1,480560,0.0,0,0.8,29456,nominal,AC Power
132,scroll,23.2,296720,39.1,480608,0.0,0,2.0,29264,nominal,AC Power
