elapsed_seconds,scenario,rustdesk_cpu_percent,rustdesk_rss_kb,windowserver_cpu_percent,windowserver_rss_kb,videotoolboxd_cpu_percent,videotoolboxd_rss_kb,vt_encoder_xpc_cpu_percent,vt_encoder_xpc_rss_kb,thermal_pressure,power_source
0,static,33.1,281328,44.1,366880,0.0,0,1.0,28400,nominal,AC Power
1,static,39.1,280592,45.5,459680,0.0,0,1.0,28448,nominal,AC Power
2,static,36.5,280672,42.0,459504,0.0,0,1.0,28448,nominal,AC Power
3,static,38.4,280752,41.6,459696,0.0,0,1.2,28480,nominal,AC Power
4,static,41.0,280784,41.7,460256,0.0,0,1.0,28480,nominal,AC Power
5,static,38.5,280816,34.2,460336,0.0,0,1.0,28480,nominal,AC Power
6,static,37.8,281728,25.3,469488,0.0,0,1.0,28480,nominal,AC Power
8,static,38.4,281808,38.8,469696,0.0,0,1.1,28512,nominal,AC Power
9,static,37.8,281840,47.4,469984,0.0,0,1.2,28512,nominal,AC Power
10,static,36.4,281840,30.4,469824,0.0,0,1.2,28528,nominal,AC Power
11,static,36.2,281840,42.8,474016,0.0,0,1.2,28528,nominal,AC Power
12,static,36.5,281840,45.3,474064,0.0,0,1.1,28512,nominal,AC Power
13,static,36.7,281840,44.1,475376,0.0,0,1.0,28496,nominal,AC Power
15,static,35.3,281888,42.7,475168,0.0,0,1.1,28496,nominal,AC Power
16,static,36.9,282032,42.1,473904,0.0,0,1.1,28512,nominal,AC Power
17,static,41.5,282064,45.9,475744,0.0,0,1.0,28544,nominal,AC Power
18,static,41.5,282128,44.5,475776,0.0,0,1.0,28528,nominal,AC Power
19,static,35.1,282208,37.2,475760,0.0,0,1.0,28544,nominal,AC Power
20,static,40.6,282240,43.9,476224,0.0,0,1.1,28544,nominal,AC Power
22,static,36.3,282272,45.8,476240,0.0,0,1.2,28544,nominal,AC Power
23,static,35.8,282288,39.9,480656,0.0,0,0.8,28544,nominal,AC Power
24,static,43.0,282912,42.9,480960,0.0,0,1.0,28560,nominal,AC Power
25,static,33.5,282992,44.8,481456,0.0,0,1.0,28560,nominal,AC Power
26,static,36.8,283072,47.0,481264,0.0,0,1.1,28560,nominal,AC Power
27,static,32.1,283184,40.9,482192,0.0,0,1.0,28560,nominal,AC Power
29,static,32.0,283248,46.3,481856,0.0,0,1.4,28560,nominal,AC Power
30,static,35.2,283280,47.3,480640,0.0,0,1.0,28544,nominal,AC Power
31,static,37.3,283360,42.6,481008,0.0,0,1.0,28544,nominal,AC Power
32,static,35.2,283408,43.5,481040,0.0,0,1.0,28544,nominal,AC Power
33,static,41.2,283504,50.7,482272,0.0,0,1.1,28544,nominal,AC Power
34,static,37.0,283552,43.2,482288,0.0,0,0.9,28544,nominal,AC Power
36,static,36.3,283616,38.8,481920,0.0,0,1.0,28544,nominal,AC Power
37,static,39.5,283728,50.6,479904,0.0,0,1.0,28544,nominal,AC Power
38,static,39.5,283792,49.5,484816,0.0,0,0.8,28544,nominal,AC Power
39,static,34.0,283344,43.1,476400,0.0,0,0.9,28528,nominal,AC Power
40,static,38.5,283136,49.4,476800,0.0,0,1.0,28528,nominal,AC Power
41,static,33.3,283312,35.2,475968,0.0,0,1.0,28528,nominal,AC Power
43,static,35.7,283728,46.9,475376,0.0,0,1.0,28528,nominal,AC Power
44,static,34.7,283824,34.0,477264,0.0,0,1.1,28528,nominal,AC Power
45,static,37.5,282800,41.2,468032,0.0,0,0.9,28016,nominal,AC Power
46,static,38.8,282592,49.3,461296,0.0,0,1.0,28384,nominal,AC Power
47,static,36.7,282672,41.1,462576,0.0,0,1.0,28368,nominal,AC Power
48,static,37.2,279120,45.5,465248,0.0,0,1.5,28384,nominal,AC Power
50,static,34.6,279232,46.2,467456,0.0,0,1.2,28368,nominal,AC Power
51,static,36.5,279488,45.9,467584,0.0,0,1.2,28368,nominal,AC Power
52,static,38.8,279552,46.7,468256,0.0,0,1.0,28368,nominal,AC Power
53,static,34.1,278752,32.3,468592,0.0,0,1.1,28320,nominal,AC Power
54,static,40.4,278928,52.3,472832,0.0,0,1.0,28320,nominal,AC Power
55,static,34.2,278800,27.2,474976,0.0,0,1.0,28320,nominal,AC Power
57,static,34.1,278000,42.1,357536,0.0,0,1.4,28272,nominal,AC Power
58,static,45.2,279856,42.9,358720,0.0,0,1.1,28288,nominal,AC Power
59,static,35.1,313360,39.5,495392,0.0,0,1.3,28592,nominal,AC Power
60,static,34.3,314528,37.8,510096,0.0,0,1.3,28464,nominal,AC Power
61,static,36.4,316112,48.0,510656,0.0,0,1.1,28800,nominal,AC Power
62,static,37.7,316032,46.2,510912,0.0,0,1.0,28288,nominal,AC Power
64,static,38.6,316848,46.4,511808,0.0,0,1.2,28608,nominal,AC Power
65,static,39.1,317152,41.5,517600,0.0,0,1.2,28320,nominal,AC Power
66,static,41.3,317360,46.7,519488,0.0,0,1.0,28528,nominal,AC Power
67,static,41.2,317488,43.6,521600,0.0,0,1.0,28576,nominal,AC Power
68,static,41.5,317024,37.8,523824,0.0,0,1.0,28688,nominal,AC Power
70,static,36.0,317312,50.0,528464,0.0,0,1.2,29040,nominal,AC Power
71,static,36.1,317008,41.4,524784,0.0,0,1.4,29424,nominal,AC Power
72,static,41.7,316704,38.7,525568,0.0,0,1.1,28576,nominal,AC Power
73,static,38.2,316752,45.7,525792,0.0,0,1.2,28608,nominal,AC Power
74,static,33.5,317104,42.3,525984,0.0,0,1.1,28752,nominal,AC Power
75,static,35.1,282640,35.8,511984,0.0,0,0.9,28576,nominal,AC Power
77,static,34.3,282736,42.8,512672,0.0,0,1.0,28560,nominal,AC Power
78,static,34.1,282176,41.3,515200,0.0,0,1.0,28624,nominal,AC Power
79,static,37.4,283056,48.3,509808,0.0,0,1.0,28560,nominal,AC Power
80,static,35.9,283152,39.3,518784,0.0,0,1.0,28576,nominal,AC Power
81,static,37.5,283872,44.0,518688,0.0,0,0.9,28576,nominal,AC Power
82,static,40.6,285952,39.8,518432,0.0,0,1.0,28736,nominal,AC Power
84,static,35.2,285664,47.6,518208,0.0,0,1.1,28704,nominal,AC Power
85,static,37.2,285824,38.7,518336,0.0,0,1.1,28752,nominal,AC Power
86,static,39.2,285920,47.0,524064,0.0,0,1.2,28752,nominal,AC Power
87,static,38.6,285808,50.2,523632,0.0,0,1.1,28752,nominal,AC Power
88,static,37.8,285776,39.9,523776,0.0,0,1.0,28752,nominal,AC Power
89,static,42.7,285840,50.5,524032,0.0,0,0.9,28752,nominal,AC Power
91,static,34.3,285616,48.3,514704,0.0,0,1.0,28736,nominal,AC Power
92,static,37.6,285648,42.6,514256,0.0,0,0.8,28736,nominal,AC Power
93,static,42.8,285712,37.8,515104,0.0,0,0.8,28736,nominal,AC Power
94,static,39.6,285808,39.6,516352,0.0,0,0.9,28736,nominal,AC Power
95,static,34.7,285776,39.3,516368,0.0,0,1.0,28736,nominal,AC Power
97,static,38.4,284560,40.5,461056,0.0,0,0.9,28688,nominal,AC Power
98,static,36.4,284656,33.6,398256,0.0,0,1.0,28688,nominal,AC Power
99,static,36.4,284192,37.8,392208,0.0,0,1.1,28688,nominal,AC Power
100,static,37.3,284096,40.7,388688,0.0,0,0.7,28704,nominal,AC Power
101,static,36.5,283664,32.7,378128,0.0,0,0.9,28704,nominal,AC Power
102,static,36.2,282976,21.9,377536,0.0,0,1.0,28704,nominal,AC Power
104,static,33.2,283024,37.4,377808,0.0,0,0.9,28704,nominal,AC Power
105,static,27.6,281968,35.2,511040,0.0,0,1.0,28704,nominal,AC Power
106,static,36.2,279792,33.4,491712,0.0,0,1.0,28416,nominal,AC Power
107,static,39.7,283168,33.9,506976,0.0,0,0.9,28448,nominal,AC Power
108,static,36.3,283088,35.0,511584,0.0,0,1.0,28464,nominal,AC Power
109,static,39.0,283104,27.0,510848,0.0,0,0.9,28464,nominal,AC Power
110,static,35.0,283168,32.5,511360,0.0,0,0.9,28464,nominal,AC Power
112,static,35.9,283808,39.7,512096,0.0,0,1.0,28464,nominal,AC Power
113,static,34.2,284320,37.8,516064,0.0,0,0.9,28544,nominal,AC Power
114,static,41.7,285248,39.3,518528,0.0,0,1.0,28544,nominal,AC Power
115,static,35.5,286640,36.0,505920,0.0,0,1.0,29520,nominal,AC Power
116,static,38.5,286320,32.7,512720,0.0,0,1.2,28576,nominal,AC Power
117,static,38.8,283760,38.0,507600,0.0,0,0.9,28560,nominal,AC Power
119,static,39.1,283696,44.5,508144,0.0,0,0.9,28592,nominal,AC Power
120,static,42.3,283984,46.7,509328,0.0,0,1.1,28576,nominal,AC Power
121,static,38.9,284176,42.0,498320,0.0,0,0.9,28816,nominal,AC Power
122,static,35.1,284368,47.6,498432,0.0,0,1.0,28656,nominal,AC Power
123,static,29.6,284288,45.6,502992,0.0,0,0.9,28528,nominal,AC Power
124,static,32.5,284432,46.4,502976,0.0,0,0.9,28512,nominal,AC Power
126,static,37.2,284528,47.6,503888,0.0,0,1.0,28512,nominal,AC Power
127,static,36.9,284656,40.2,472704,0.0,0,0.9,28784,nominal,AC Power
128,static,38.9,284432,37.9,472720,0.0,0,0.9,28672,nominal,AC Power
129,static,36.8,284448,34.4,496192,0.0,0,1.2,28816,nominal,AC Power
130,static,35.1,286032,37.3,495904,0.0,0,1.3,28688,nominal,AC Power
131,static,35.9,286064,37.3,493472,0.0,0,1.2,28640,nominal,AC Power
133,static,38.2,286688,34.1,493824,0.0,0,1.1,28640,nominal,AC Power
134,static,39.1,286688,30.8,493520,0.0,0,0.9,28656,nominal,AC Power
135,static,38.8,286544,37.4,491664,0.0,0,1.1,28336,nominal,AC Power
136,static,36.2,283568,42.1,490720,0.0,0,1.1,28592,nominal,AC Power
137,static,32.2,316640,43.4,501488,0.0,0,1.0,28640,nominal,AC Power
138,static,38.8,316688,36.6,502768,0.0,0,0.9,28608,nominal,AC Power
140,static,40.6,316512,46.5,501680,0.0,0,1.2,28560,nominal,AC Power
141,static,37.7,282336,41.5,496640,0.0,0,1.3,28592,nominal,AC Power
142,static,31.3,282240,27.1,492448,0.0,0,1.0,28352,nominal,AC Power
143,static,35.0,283120,33.8,464416,0.0,0,1.0,28784,nominal,AC Power
