elapsed_seconds,scenario,rustdesk_cpu_percent,rustdesk_rss_kb,windowserver_cpu_percent,windowserver_rss_kb,videotoolboxd_cpu_percent,videotoolboxd_rss_kb,vt_encoder_xpc_cpu_percent,vt_encoder_xpc_rss_kb,thermal_pressure,power_source
0,video,38.7,291024,33.4,493072,0.0,0,1.2,27696,nominal,AC Power
1,video,39.3,291152,25.4,492768,0.0,0,1.2,27696,nominal,AC Power
2,video,38.4,291248,24.1,492768,0.0,0,1.1,27696,nominal,AC Power
3,video,37.7,291296,25.3,492560,0.0,0,1.2,27696,nominal,AC Power
4,video,38.8,291360,24.7,492848,0.0,0,1.3,27696,nominal,AC Power
5,video,37.9,291456,28.0,492848,0.0,0,1.2,27696,nominal,AC Power
6,video,37.4,291088,25.4,488080,0.0,0,1.3,27696,nominal,AC Power
8,video,36.3,291152,25.2,488080,0.0,0,1.0,27696,nominal,AC Power
9,video,38.3,291280,29.7,495408,0.0,0,1.1,27696,nominal,AC Power
10,video,32.8,291312,23.3,495344,0.0,0,1.1,27696,nominal,AC Power
11,video,35.6,291408,27.8,495328,0.0,0,1.2,27696,nominal,AC Power
12,video,34.9,291472,30.4,495344,0.0,0,1.1,27712,nominal,AC Power
13,video,39.0,291568,28.5,495152,0.0,0,1.1,27712,nominal,AC Power
14,video,38.5,291616,27.8,495152,0.0,0,1.2,27712,nominal,AC Power
16,video,38.3,291184,31.8,493104,0.0,0,1.1,27648,nominal,AC Power
17,video,37.4,286352,27.7,486544,0.0,0,1.1,27584,nominal,AC Power
18,video,38.1,257904,25.9,486080,0.0,0,1.1,27584,nominal,AC Power
19,video,38.3,257968,26.5,486304,0.0,0,1.1,27584,nominal,AC Power
20,video,36.1,257744,25.0,485984,0.0,0,1.1,27584,nominal,AC Power
21,video,36.8,257792,24.3,486272,0.0,0,1.2,27584,nominal,AC Power
23,video,38.5,257872,25.2,486272,0.0,0,1.3,27584,nominal,AC Power
24,video,36.1,258000,23.9,486128,0.0,0,1.0,27584,nominal,AC Power
25,video,33.1,258080,22.1,486128,0.0,0,1.0,27584,nominal,AC Power
26,video,37.0,258144,25.6,486272,0.0,0,1.3,27584,nominal,AC Power
27,video,32.7,258208,33.2,486304,0.0,0,1.2,27600,nominal,AC Power
28,video,34.8,258112,32.7,484512,0.0,0,1.2,27584,nominal,AC Power
29,video,35.3,254512,27.2,395136,0.0,0,1.2,27392,nominal,AC Power
31,video,37.9,254496,29.7,389360,0.0,0,1.2,27392,nominal,AC Power
32,video,34.0,254608,31.6,315696,0.0,0,1.2,27392,nominal,AC Power
33,video,38.2,254832,26.0,315344,0.0,0,1.1,27392,nominal,AC Power
34,video,38.4,254864,27.4,315312,0.0,0,1.3,27392,nominal,AC Power
35,video,37.6,254928,28.1,315392,0.0,0,1.1,27408,nominal,AC Power
36,video,36.2,254976,26.3,315200,0.0,0,1.2,27472,nominal,AC Power
38,video,36.2,254480,25.0,306672,0.0,0,1.2,27424,nominal,AC Power
39,video,36.8,254560,27.9,305072,0.0,0,1.1,27424,nominal,AC Power
40,video,37.6,255584,24.3,292624,0.0,0,1.2,27392,nominal,AC Power
41,video,38.1,255232,31.3,292528,0.0,0,1.1,27392,nominal,AC Power
42,video,39.0,255088,36.0,291584,0.0,0,1.1,27360,nominal,AC Power
43,video,37.7,253680,28.6,455040,0.0,0,1.2,27456,nominal,AC Power
45,video,36.1,254016,30.0,456288,0.0,0,1.4,27248,nominal,AC Power
46,video,37.0,254096,26.0,456400,0.0,0,1.3,27264,nominal,AC Power
47,video,37.3,254208,31.0,456400,0.0,0,1.2,27264,nominal,AC Power
48,video,37.2,254240,28.9,455232,0.0,0,1.2,27248,nominal,AC Power
49,video,34.8,254336,24.0,455328,0.0,0,1.2,27248,nominal,AC Power
50,video,36.3,254448,25.3,455344,0.0,0,1.2,27248,nominal,AC Power
51,video,38.3,255216,26.1,455664,0.0,0,1.2,27248,nominal,AC Power
53,video,37.0,255296,22.1,455408,0.0,0,1.2,27264,nominal,AC Power
54,video,35.4,255584,27.6,455680,0.0,0,1.2,27296,nominal,AC Power
55,video,32.1,255648,35.6,455872,0.0,0,1.4,27264,nominal,AC Power
56,video,34.3,255728,31.0,455872,0.0,0,1.2,27280,nominal,AC Power
57,video,34.4,255824,29.3,455872,0.0,0,1.2,27264,nominal,AC Power
58,video,36.8,255840,29.5,455968,0.0,0,1.2,27264,nominal,AC Power
60,video,35.4,255888,27.4,455968,0.0,0,1.2,27264,nominal,AC Power
