elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,1104,0.0,0
1,8.9,27936,0.0,0
2,3.2,28044,0.0,0
3,4.2,28288,0.0,0
4,5.4,28440,0.0,0
5,5.1,28512,0.0,0
6,6.0,28628,0.0,0
7,5.8,28652,0.0,0
8,6.2,28656,0.0,0
9,4.0,28800,0.0,0
11,6.3,28824,0.0,0
12,5.9,28848,0.0,0
13,5.9,28848,0.0,0
14,6.6,28872,0.0,0
15,6.0,28884,0.0,0
16,6.6,28920,0.0,0
17,6.4,28920,0.0,0
18,6.5,28924,0.0,0
19,4.1,28932,0.0,0
20,6.8,28932,0.0,0
21,6.5,28936,0.0,0
22,7.0,28936,0.0,0
24,6.5,28936,0.0,0
25,4.9,28940,0.0,0
26,6.8,28940,0.0,0
27,6.0,28976,0.0,0
28,6.9,28980,0.0,0
29,6.1,29000,0.0,0
30,6.6,29124,0.0,0
31,6.9,29220,0.0,0
32,5.4,29232,0.0,0
33,5.5,29232,0.0,0
35,5.5,29232,0.0,0
36,4.9,29260,0.0,0
37,5.2,29260,0.0,0
38,5.1,29284,0.0,0
39,5.4,29296,0.0,0
40,6.1,29300,0.0,0
41,5.8,29324,0.0,0
42,5.5,29324,0.0,0
43,6.6,29324,0.0,0
44,6.2,29324,0.0,0
45,4.6,29324,0.0,0
47,6.0,29324,0.0,0
48,6.1,29328,0.0,0
49,6.1,29332,0.0,0
50,6.1,29332,0.0,0
51,6.3,29340,0.0,0
52,6.9,29340,0.0,0
53,5.1,29360,0.0,0
54,6.3,29360,0.0,0
55,6.2,29364,0.0,0
56,6.4,29364,0.0,0
57,6.4,29368,0.0,0
59,5.1,29368,0.0,0
60,5.9,29396,0.0,0
61,4.4,29396,0.0,0
62,4.9,29400,0.0,0
63,5.2,29424,0.0,0
64,5.4,29428,0.0,0
65,5.2,29456,0.0,0
66,5.2,29456,0.0,0
67,6.2,29460,0.0,0
68,5.3,29464,0.0,0
69,6.2,29472,0.0,0
71,6.0,29472,0.0,0
72,6.1,29472,0.0,0
73,6.0,29472,0.0,0
74,6.0,29476,0.0,0
75,5.5,29476,0.0,0
76,7.0,29480,0.0,0
77,6.2,29484,0.0,0
78,6.4,29488,0.0,0
79,6.7,29496,0.0,0
80,6.5,29496,0.0,0
81,6.9,29496,0.0,0
83,6.5,29496,0.0,0
84,5.9,29496,0.0,0
85,6.7,29496,0.0,0
86,6.2,29520,0.0,0
87,5.5,29524,0.0,0
88,6.8,29524,0.0,0
89,7.0,29532,0.0,0
90,6.4,29536,0.0,0
91,6.0,29544,0.0,0
92,6.8,29544,0.0,0
93,5.6,29548,0.0,0
95,5.2,29548,0.0,0
96,6.2,29552,0.0,0
97,4.4,29552,0.0,0
98,5.3,29560,0.0,0
99,5.5,29560,0.0,0
100,5.3,29560,0.0,0
101,5.6,29560,0.0,0
102,6.1,29580,0.0,0
103,5.7,29584,0.0,0
104,6.2,29584,0.0,0
105,6.1,29584,0.0,0
107,6.3,29584,0.0,0
108,5.9,29592,0.0,0
109,5.7,29592,0.0,0
110,5.7,29592,0.0,0
111,5.4,29592,0.0,0
112,6.6,29600,0.0,0
113,5.8,29604,0.0,0
114,7.0,29604,0.0,0
115,6.6,29604,0.0,0
116,6.8,29608,0.0,0
117,4.6,29648,0.0,0
119,4.4,29648,0.0,0
120,3.9,29652,0.0,0
121,4.8,29692,0.0,0
122,5.9,29660,0.0,0
123,5.6,29664,0.0,0
124,6.0,29664,0.0,0
125,4.8,29668,0.0,0
126,5.8,29668,0.0,0
127,5.5,29672,0.0,0
128,5.3,29676,0.0,0
129,5.2,29680,0.0,0
131,6.7,29680,0.0,0
132,6.8,29684,0.0,0
133,5.7,29684,0.0,0
134,5.6,29684,0.0,0
135,6.1,29724,0.0,0
136,6.4,29724,0.0,0
137,6.4,29728,0.0,0
138,4.8,29728,0.0,0
139,6.5,29736,0.0,0
140,6.5,29736,0.0,0
141,6.7,29740,0.0,0
143,7.3,29740,0.0,0
144,5.8,29740,0.0,0
145,6.1,29740,0.0,0
146,6.5,29744,0.0,0
147,5.8,29744,0.0,0
148,6.0,29748,0.0,0
149,6.3,29756,0.0,0
150,6.7,29756,0.0,0
151,6.6,29760,0.0,0
152,5.3,29760,0.0,0
153,7.3,29760,0.0,0
155,5.8,29764,0.0,0
156,6.4,29764,0.0,0
157,5.4,29764,0.0,0
158,5.0,29764,0.0,0
159,5.0,29772,0.0,0
160,5.3,29772,0.0,0
161,6.1,29772,0.0,0
162,6.1,29772,0.0,0
163,6.3,29772,0.0,0
164,6.2,29776,0.0,0
165,6.2,29776,0.0,0
167,5.9,29776,0.0,0
168,6.3,29776,0.0,0
169,6.3,29776,0.0,0
170,6.7,29776,0.0,0
171,5.3,29776,0.0,0
172,2.8,29776,0.0,0
173,3.4,29776,0.0,0
174,1.1,29776,0.0,0
175,0.7,29776,0.0,0
176,0.7,29776,0.0,0
177,0.6,29776,0.0,0
179,0.7,29748,0.0,0
180,0.6,29616,0.0,0
