elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,484,0.0,0
1,9.9,28228,0.0,0
2,2.8,28256,0.0,0
3,4.2,28280,0.0,0
4,3.8,28464,0.0,0
5,2.7,28468,0.0,0
6,4.3,28480,0.0,0
7,3.0,28484,0.0,0
9,5.0,28488,0.0,0
10,4.6,28488,0.0,0
11,5.0,28488,0.0,0
12,5.7,28432,0.0,0
13,4.3,28444,0.0,0
14,4.9,28448,0.0,0
15,4.9,28448,0.0,0
16,4.4,28444,0.0,0
18,4.1,28448,0.0,0
19,4.0,28448,0.0,0
20,4.2,28448,0.0,0
21,4.8,28448,0.0,0
22,5.0,28452,0.0,0
23,4.8,28452,0.0,0
24,5.0,28456,0.0,0
25,5.2,28456,0.0,0
27,5.1,28460,0.0,0
28,5.5,28464,0.0,0
29,5.1,28464,0.0,0
30,4.7,28496,0.0,0
31,4.4,28520,0.0,0
32,4.7,28520,0.0,0
33,5.0,28520,0.0,0
34,4.1,28528,0.0,0
35,4.4,28532,0.0,0
37,4.7,28536,0.0,0
38,5.2,28536,0.0,0
39,5.2,28552,0.0,0
40,5.4,28552,0.0,0
41,4.3,28552,0.0,0
42,4.1,28552,0.0,0
43,0.7,28552,0.0,0
44,0.7,28552,0.0,0
46,0.7,28552,0.0,0
47,0.7,28552,0.0,0
48,0.7,28464,0.0,0
49,0.7,28420,0.0,0
50,1.0,28432,0.0,0
51,0.5,28432,0.0,0
52,0.7,28432,0.0,0
53,0.7,28432,0.0,0
55,0.7,28416,0.0,0
56,0.7,28376,0.0,0
57,0.6,28376,0.0,0
58,0.7,28376,0.0,0
59,0.7,28376,0.0,0
