elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,544,0.0,0
1,14.0,28708,0.0,0
2,3.2,28644,0.0,0
3,3.7,28620,0.0,0
4,4.0,28896,0.0,0
5,4.9,28488,0.0,0
6,4.8,28856,0.0,0
7,5.5,29372,0.0,0
9,5.0,29084,0.0,0
10,6.2,28932,0.0,0
11,5.0,28936,0.0,0
12,1.1,28936,0.0,0
13,2.0,28928,0.0,0
14,4.8,28960,0.0,0
15,2.2,28964,0.0,0
16,5.8,28960,0.0,0
18,5.6,28968,0.0,0
19,4.8,28988,0.0,0
20,5.6,29316,0.0,0
21,5.0,29380,0.0,0
22,5.2,28976,0.0,0
23,5.1,28976,0.0,0
24,5.2,28980,0.0,0
25,5.9,28976,0.0,0
27,4.8,28976,0.0,0
28,4.8,28984,0.0,0
29,4.7,28984,0.0,0
30,5.3,29036,0.0,0
31,4.3,29040,0.0,0
32,5.7,29044,0.0,0
33,4.5,29052,0.0,0
34,3.0,29052,0.0,0
36,2.9,29060,0.0,0
37,4.1,29072,0.0,0
38,4.0,29072,0.0,0
39,4.7,29072,0.0,0
40,4.2,29076,0.0,0
41,4.8,29088,0.0,0
42,5.4,29096,0.0,0
43,5.6,29160,0.0,0
45,5.5,29160,0.0,0
46,4.7,29160,0.0,0
47,4.4,29164,0.0,0
48,5.6,29164,0.0,0
49,5.2,29164,0.0,0
50,3.6,29168,0.0,0
51,4.2,29172,0.0,0
52,4.2,29172,0.0,0
54,3.9,29184,0.0,0
55,4.6,29184,0.0,0
56,4.6,29188,0.0,0
57,4.9,29228,0.0,0
58,5.1,29292,0.0,0
59,5.4,29292,0.0,0
60,5.5,29300,0.0,0
61,5.5,29364,0.0,0
63,5.3,29356,0.0,0
64,4.7,29356,0.0,0
65,4.3,29356,0.0,0
66,5.6,29360,0.0,0
67,4.2,29364,0.0,0
68,5.6,29364,0.0,0
69,4.8,29364,0.0,0
70,4.3,29368,0.0,0
72,4.3,29388,0.0,0
73,4.7,29388,0.0,0
74,4.8,29388,0.0,0
75,4.5,29396,0.0,0
76,6.0,29400,0.0,0
77,4.5,29464,0.0,0
78,5.5,29464,0.0,0
79,5.6,29464,0.0,0
81,5.5,29468,0.0,0
82,5.8,29468,0.0,0
83,6.5,29984,0.0,0
84,4.6,29988,0.0,0
85,4.5,29988,0.0,0
86,5.3,29992,0.0,0
87,4.6,29992,0.0,0
88,5.5,29996,0.0,0
90,5.5,29996,0.0,0
91,5.6,29996,0.0,0
92,5.9,30000,0.0,0
93,4.8,30004,0.0,0
94,5.6,30004,0.0,0
95,5.4,30004,0.0,0
96,5.8,30012,0.0,0
97,5.7,30012,0.0,0
98,4.5,30016,0.0,0
100,4.2,30020,0.0,0
101,4.9,30020,0.0,0
102,5.3,30024,0.0,0
103,5.2,30024,0.0,0
104,5.8,30024,0.0,0
105,5.7,30028,0.0,0
106,6.0,30028,0.0,0
107,5.5,30032,0.0,0
109,5.7,30036,0.0,0
110,5.6,30036,0.0,0
111,5.0,30040,0.0,0
112,5.4,30040,0.0,0
113,4.4,30040,0.0,0
114,0.7,30040,0.0,0
115,0.5,30040,0.0,0
116,0.7,30040,0.0,0
118,0.7,30040,0.0,0
119,0.7,29968,0.0,0
120,0.7,29924,0.0,0
121,0.6,29880,0.0,0
122,0.7,29880,0.0,0
123,0.7,29880,0.0,0
124,0.7,29880,0.0,0
125,0.7,29880,0.0,0
126,0.7,29880,0.0,0
128,0.6,29880,0.0,0
129,0.7,29880,0.0,0
130,0.7,29880,0.0,0
131,0.5,29880,0.0,0
