elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,620,0.0,0
1,13.5,28300,0.0,0
2,2.9,28356,0.0,0
3,3.8,28340,0.0,0
4,3.1,28504,0.0,0
5,0.7,28508,0.0,0
6,0.7,28496,0.0,0
7,5.0,28456,0.0,0
9,5.5,28504,0.0,0
10,7.8,29028,0.0,0
11,8.0,28892,0.0,0
12,3.1,28900,0.0,0
13,4.5,28928,0.0,0
14,5.2,28844,0.0,0
15,6.0,28848,0.0,0
16,4.7,28832,0.0,0
18,3.6,28848,0.0,0
19,3.4,28852,0.0,0
20,3.2,28852,0.0,0
21,5.1,28820,0.0,0
22,0.7,28820,0.0,0
23,4.2,28820,0.0,0
24,0.7,28820,0.0,0
25,1.0,28820,0.0,0
27,4.7,28824,0.0,0
28,4.5,28868,0.0,0
29,4.3,28884,0.0,0
30,5.7,28916,0.0,0
31,6.0,28932,0.0,0
32,3.9,28936,0.0,0
33,5.3,28968,0.0,0
34,8.6,29040,0.0,0
35,1.0,29044,0.0,0
37,1.3,29048,0.0,0
38,3.6,29048,0.0,0
39,4.3,29024,0.0,0
40,5.1,29032,0.0,0
41,6.3,29080,0.0,0
42,5.4,29080,0.0,0
43,5.6,29052,0.0,0
44,0.9,29052,0.0,0
45,0.7,29052,0.0,0
47,0.7,29052,0.0,0
48,0.6,29052,0.0,0
49,0.6,28984,0.0,0
50,0.7,28940,0.0,0
51,0.7,28904,0.0,0
52,0.7,28904,0.0,0
53,2.4,29024,0.0,0
54,0.7,29024,0.0,0
56,0.7,29024,0.0,0
57,0.7,29024,0.0,0
58,0.7,29024,0.0,0
59,1.4,28980,0.0,0
60,1.0,28980,0.0,0
61,0.8,28980,0.0,0
62,1.1,28980,0.0,0
63,0.7,29072,0.0,0
64,0.7,29080,0.0,0
66,2.5,29120,0.0,0
67,2.0,29104,0.0,0
68,2.1,29108,0.0,0
69,2.6,29100,0.0,0
70,3.4,29100,0.0,0
71,4.0,29200,0.0,0
72,4.0,29144,0.0,0
73,4.7,29144,0.0,0
75,5.2,29140,0.0,0
76,5.3,29204,0.0,0
77,4.9,29132,0.0,0
78,5.0,29132,0.0,0
79,5.5,29132,0.0,0
80,5.4,29120,0.0,0
81,5.3,29120,0.0,0
82,5.3,29120,0.0,0
84,5.8,29120,0.0,0
85,5.5,29120,0.0,0
86,5.6,29124,0.0,0
87,5.1,29128,0.0,0
88,1.1,29452,0.0,0
89,6.3,29980,0.0,0
90,4.8,29896,0.0,0
91,4.1,29980,0.0,0
93,0.7,29980,0.0,0
94,0.7,29980,0.0,0
95,0.7,29980,0.0,0
96,0.7,29980,0.0,0
97,0.7,29920,0.0,0
98,0.7,29920,0.0,0
99,0.7,29876,0.0,0
100,5.3,29884,0.0,0
101,3.9,29900,0.0,0
103,0.5,29900,0.0,0
104,2.3,29444,0.0,0
105,0.9,29444,0.0,0
106,0.6,29444,0.0,0
107,0.7,29444,0.0,0
108,0.7,29420,0.0,0
109,0.8,29388,0.0,0
110,1.8,29508,0.0,0
112,0.5,29508,0.0,0
113,0.3,29508,0.0,0
114,0.3,29508,0.0,0
115,0.5,29468,0.0,0
116,0.7,29468,0.0,0
117,6.7,30356,0.0,0
118,0.9,30360,0.0,0
119,0.7,30360,0.0,0
121,0.7,30360,0.0,0
