elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,444,0.0,0
1,10.1,28252,0.0,0
2,2.3,28308,0.0,0
3,3.9,28300,0.0,0
4,4.3,28496,0.0,0
5,3.9,28496,0.0,0
6,3.0,28496,0.0,0
7,4.0,28496,0.0,0
8,3.0,28500,0.0,0
9,4.3,28500,0.0,0
10,4.6,28480,0.0,0
12,4.7,28484,0.0,0
13,5.5,28488,0.0,0
14,4.5,28488,0.0,0
15,4.9,28488,0.0,0
16,5.4,28492,0.0,0
17,5.2,28492,0.0,0
18,5.4,28496,0.0,0
19,4.7,28496,0.0,0
20,5.0,28496,0.0,0
21,4.4,28500,0.0,0
22,4.7,28532,0.0,0
24,4.6,28532,0.0,0
25,4.4,28536,0.0,0
26,4.6,28536,0.0,0
27,4.9,28540,0.0,0
28,5.4,28540,0.0,0
29,5.0,28544,0.0,0
30,5.1,28548,0.0,0
31,5.0,28548,0.0,0
32,4.4,28552,0.0,0
33,4.2,28552,0.0,0
34,4.2,28564,0.0,0
36,4.5,28568,0.0,0
37,5.3,28576,0.0,0
38,4.7,28580,0.0,0
39,4.6,28580,0.0,0
40,5.3,28584,0.0,0
41,5.2,28584,0.0,0
42,5.2,28584,0.0,0
43,5.3,28584,0.0,0
44,5.2,28648,0.0,0
45,5.2,28648,0.0,0
46,5.4,28648,0.0,0
48,5.3,28652,0.0,0
49,5.6,28656,0.0,0
50,5.0,28660,0.0,0
51,5.0,28664,0.0,0
52,5.3,28664,0.0,0
53,5.3,28668,0.0,0
54,5.0,28668,0.0,0
55,5.4,28672,0.0,0
56,5.5,28672,0.0,0
57,5.1,28672,0.0,0
58,5.4,28676,0.0,0
59,5.1,28676,0.0,0
61,5.0,28688,0.0,0
62,5.0,28692,0.0,0
63,5.6,28692,0.0,0
64,3.4,28692,0.0,0
65,5.3,28700,0.0,0
66,5.1,28700,0.0,0
67,5.5,28708,0.0,0
68,5.5,28708,0.0,0
69,5.7,28716,0.0,0
70,5.5,28716,0.0,0
71,5.4,28716,0.0,0
73,5.6,28724,0.0,0
74,5.2,28724,0.0,0
75,4.4,28728,0.0,0
76,4.8,28732,0.0,0
77,5.2,28732,0.0,0
78,5.7,28732,0.0,0
79,4.9,28744,0.0,0
80,5.3,28748,0.0,0
81,5.1,28752,0.0,0
82,3.3,28752,0.0,0
83,5.8,28756,0.0,0
85,5.2,28760,0.0,0
86,4.7,28760,0.0,0
87,5.7,28760,0.0,0
88,5.0,28764,0.0,0
89,5.6,28764,0.0,0
90,5.3,28768,0.0,0
91,5.7,28768,0.0,0
92,5.1,28772,0.0,0
93,5.4,28820,0.0,0
94,5.3,28824,0.0,0
95,7.4,28832,0.0,0
97,4.9,28832,0.0,0
98,4.6,28836,0.0,0
99,5.7,28840,0.0,0
100,5.1,28840,0.0,0
101,5.0,28844,0.0,0
102,5.4,28844,0.0,0
103,4.9,28848,0.0,0
104,5.3,28852,0.0,0
105,4.6,28852,0.0,0
106,5.2,28856,0.0,0
107,5.7,28856,0.0,0
109,5.3,28856,0.0,0
110,4.9,28860,0.0,0
111,5.3,28864,0.0,0
112,5.1,28880,0.0,0
113,4.8,28880,0.0,0
114,5.5,28884,0.0,0
115,5.5,28884,0.0,0
116,4.8,28888,0.0,0
117,5.2,28892,0.0,0
118,5.4,28892,0.0,0
119,5.2,28892,0.0,0
121,5.5,28896,0.0,0
122,3.9,28900,0.0,0
123,5.6,28900,0.0,0
124,5.6,28940,0.0,0
125,5.8,28940,0.0,0
126,5.3,28944,0.0,0
127,5.1,28944,0.0,0
128,5.5,28944,0.0,0
129,5.4,28952,0.0,0
130,5.6,28952,0.0,0
131,5.5,28968,0.0,0
133,5.4,28968,0.0,0
134,4.8,28972,0.0,0
135,3.1,28972,0.0,0
136,4.7,28972,0.0,0
137,5.6,28976,0.0,0
138,4.7,28976,0.0,0
139,5.5,28980,0.0,0
140,5.3,28984,0.0,0
141,5.2,28992,0.0,0
142,5.7,28992,0.0,0
143,5.7,28992,0.0,0
145,5.2,28996,0.0,0
146,4.5,28996,0.0,0
147,4.6,28996,0.0,0
148,5.1,29000,0.0,0
149,5.9,29004,0.0,0
150,5.4,29004,0.0,0
151,5.7,29008,0.0,0
152,5.3,29008,0.0,0
153,5.1,29012,0.0,0
154,5.7,29012,0.0,0
155,3.1,29016,0.0,0
156,4.9,29016,0.0,0
158,4.9,29020,0.0,0
159,4.0,29020,0.0,0
160,5.1,29028,0.0,0
161,6.0,29028,0.0,0
162,5.5,29032,0.0,0
163,4.9,29032,0.0,0
164,6.0,29032,0.0,0
165,5.1,29036,0.0,0
166,5.2,29040,0.0,0
167,5.3,29040,0.0,0
168,5.6,29040,0.0,0
170,5.1,29040,0.0,0
171,5.8,29040,0.0,0
172,4.7,29040,0.0,0
173,5.1,29040,0.0,0
174,5.6,29040,0.0,0
175,5.4,29040,0.0,0
176,5.6,29044,0.0,0
177,5.6,29044,0.0,0
178,5.8,29044,0.0,0
179,5.3,29044,0.0,0
