elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,100,0.0,0
1,15.2,28752,0.0,0
2,2.8,28740,0.0,0
3,3.7,28072,0.0,0
4,4.1,28144,0.0,0
5,3.5,28176,0.0,0
6,4.7,28220,0.0,0
7,5.0,28232,0.0,0
9,3.7,28204,0.0,0
10,5.1,28204,0.0,0
11,5.2,28204,0.0,0
12,4.6,28208,0.0,0
13,5.4,28212,0.0,0
14,5.2,28212,0.0,0
15,1.2,28216,0.0,0
16,0.7,28216,0.0,0
18,0.6,28216,0.0,0
19,0.5,28216,0.0,0
20,0.5,28216,0.0,0
21,0.6,28096,0.0,0
22,0.7,28096,0.0,0
23,0.6,28116,0.0,0
24,0.6,28116,0.0,0
25,0.7,28116,0.0,0
27,0.7,28116,0.0,0
28,0.7,28100,0.0,0
29,4.3,28104,0.0,0
