elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,760,0.0,0
1,7.8,58420,0.0,0
2,3.3,58656,0.0,0
3,3.3,58928,0.0,0
4,3.4,59020,0.0,0
5,3.5,58964,0.0,0
6,3.4,59036,0.0,0
7,3.4,59144,0.0,0
8,3.3,59052,0.0,0
9,3.2,58916,0.0,0
11,3.3,58896,0.0,0
12,3.3,58916,0.0,0
13,3.3,58756,0.0,0
14,3.3,59048,0.0,0
15,3.3,58988,0.0,0
16,3.1,59052,0.0,0
17,3.3,59152,0.0,0
18,3.3,59076,0.0,0
19,3.4,58940,0.0,0
20,3.6,58940,0.0,0
22,3.8,58940,0.0,0
23,3.2,58780,0.0,0
24,3.3,58780,0.0,0
25,3.5,59016,0.0,0
26,3.6,59100,0.0,0
27,3.5,59196,0.0,0
28,3.5,59100,0.0,0
29,3.5,58968,0.0,0
31,3.7,39240,0.0,0
32,3.4,39240,0.0,0
33,3.5,39080,0.0,0
34,3.7,39372,0.0,0
35,3.7,39312,0.0,0
36,3.9,39376,0.0,0
37,3.4,39472,0.0,0
38,3.6,39376,0.0,0
39,3.5,39240,0.0,0
41,3.6,39240,0.0,0
42,3.5,39240,0.0,0
43,3.8,39080,0.0,0
44,3.6,39372,0.0,0
45,3.5,39312,0.0,0
46,3.6,39396,0.0,0
47,3.7,39492,0.0,0
48,3.7,39260,0.0,0
50,4.0,39260,0.0,0
51,3.8,39100,0.0,0
52,3.9,39116,0.0,0
53,3.7,39348,0.0,0
54,3.6,39412,0.0,0
55,3.7,39508,0.0,0
56,3.6,39412,0.0,0
57,3.8,39276,0.0,0
58,3.8,39276,0.0,0
60,3.7,39276,0.0,0
61,3.5,39116,0.0,0
62,3.8,39252,0.0,0
63,3.9,39348,0.0,0
64,3.6,39412,0.0,0
65,4.0,39508,0.0,0
66,3.9,39276,0.0,0
68,3.7,39276,0.0,0
69,3.7,39116,0.0,0
70,3.8,39116,0.0,0
71,3.8,39348,0.0,0
72,3.7,39412,0.0,0
73,4.0,39508,0.0,0
74,3.9,39412,0.0,0
75,3.7,39276,0.0,0
