elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,684,0.0,0
1,10.2,58596,0.0,0
2,2.9,58832,0.0,0
3,2.9,58672,0.0,0
4,3.2,58672,0.0,0
5,3.1,58908,0.0,0
6,3.2,58996,0.0,0
7,3.3,59092,0.0,0
8,2.9,59040,0.0,0
9,3.1,59136,0.0,0
11,3.1,58884,0.0,0
12,2.9,58884,0.0,0
13,2.9,58896,0.0,0
14,3.1,58896,0.0,0
15,3.3,58736,0.0,0
16,3.1,59028,0.0,0
17,3.0,58968,0.0,0
18,3.1,59032,0.0,0
19,2.9,59128,0.0,0
20,2.5,59032,0.0,0
21,3.1,58900,0.0,0
23,2.8,58900,0.0,0
24,2.9,58900,0.0,0
25,2.7,58744,0.0,0
26,2.8,58768,0.0,0
27,2.9,59000,0.0,0
28,2.9,59060,0.0,0
29,3.2,59000,0.0,0
30,4.7,39380,0.0,0
31,2.9,39476,0.0,0
32,3.0,39392,0.0,0
33,2.9,39296,0.0,0
35,2.8,39296,0.0,0
36,2.7,39260,0.0,0
37,2.9,39100,0.0,0
38,3.1,39104,0.0,0
39,2.7,39336,0.0,0
40,2.8,39396,0.0,0
41,2.7,39336,0.0,0
42,2.8,39400,0.0,0
43,2.9,39496,0.0,0
44,2.8,39400,0.0,0
46,2.3,39264,0.0,0
47,2.7,39264,0.0,0
48,2.6,39268,0.0,0
49,2.8,39108,0.0,0
50,2.6,39108,0.0,0
51,2.8,39364,0.0,0
52,2.7,39428,0.0,0
53,2.7,39524,0.0,0
54,2.8,39428,0.0,0
55,2.9,39528,0.0,0
56,2.7,39296,0.0,0
58,2.7,39296,0.0,0
59,2.8,39296,0.0,0
60,2.3,39296,0.0,0
61,2.8,39136,0.0,0
62,2.9,39292,0.0,0
63,2.8,39388,0.0,0
64,2.7,39452,0.0,0
65,3.0,39548,0.0,0
66,2.6,39452,0.0,0
67,2.5,39316,0.0,0
69,2.7,39324,0.0,0
70,2.5,39324,0.0,0
71,2.7,39164,0.0,0
72,2.7,39164,0.0,0
73,2.8,39396,0.0,0
74,2.8,39456,0.0,0
75,2.9,39396,0.0,0
76,2.6,39460,0.0,0
77,2.8,39556,0.0,0
78,2.8,39460,0.0,0
80,2.5,39324,0.0,0
81,2.7,39324,0.0,0
82,2.9,39324,0.0,0
83,2.8,39164,0.0,0
84,2.9,39164,0.0,0
85,2.7,39396,0.0,0
86,2.7,39460,0.0,0
87,2.6,39556,0.0,0
88,2.8,39460,0.0,0
89,2.5,39556,0.0,0
91,2.8,39324,0.0,0
92,2.8,39324,0.0,0
93,2.6,39164,0.0,0
94,2.9,39164,0.0,0
95,2.5,39396,0.0,0
96,2.9,39456,0.0,0
97,3.1,39400,0.0,0
98,2.9,39464,0.0,0
99,2.7,39560,0.0,0
100,2.7,39464,0.0,0
102,2.8,39328,0.0,0
103,2.8,39328,0.0,0
104,3.0,39328,0.0,0
105,3.2,39168,0.0,0
106,2.6,39304,0.0,0
107,3.1,39400,0.0,0
108,2.9,39464,0.0,0
109,2.9,39560,0.0,0
110,2.9,39464,0.0,0
111,2.9,39328,0.0,0
113,2.7,39328,0.0,0
114,2.9,39328,0.0,0
115,2.8,39168,0.0,0
116,2.9,39168,0.0,0
117,2.8,39400,0.0,0
118,2.9,39464,0.0,0
119,2.6,39560,0.0,0
120,2.8,39464,0.0,0
121,2.6,39568,0.0,0
122,2.5,39336,0.0,0
124,2.8,39336,0.0,0
125,2.8,39336,0.0,0
126,2.7,39336,0.0,0
127,3.0,39176,0.0,0
128,3.0,39468,0.0,0
129,2.7,39408,0.0,0
130,2.7,39472,0.0,0
131,3.0,39568,0.0,0
132,2.8,39472,0.0,0
133,3.0,39336,0.0,0
135,3.0,39336,0.0,0
136,2.7,39336,0.0,0
137,2.6,39176,0.0,0
138,3.0,39176,0.0,0
139,2.9,39408,0.0,0
140,2.8,39472,0.0,0
141,3.1,39568,0.0,0
142,2.7,39472,0.0,0
143,2.4,39568,0.0,0
145,2.6,39336,0.0,0
146,2.4,39336,0.0,0
147,2.5,39336,0.0,0
148,2.9,39336,0.0,0
149,2.8,39176,0.0,0
150,2.8,39468,0.0,0
151,2.8,39408,0.0,0
152,2.7,39472,0.0,0
153,2.9,39568,0.0,0
154,2.7,39472,0.0,0
156,2.7,39336,0.0,0
157,2.6,39336,0.0,0
158,2.7,39336,0.0,0
159,2.9,39176,0.0,0
160,2.6,39176,0.0,0
161,2.9,39408,0.0,0
162,2.7,39472,0.0,0
163,2.6,39568,0.0,0
164,2.4,39472,0.0,0
165,2.7,39568,0.0,0
167,2.8,39336,0.0,0
168,2.5,39336,0.0,0
169,2.7,39176,0.0,0
170,2.5,39176,0.0,0
171,2.8,39408,0.0,0
172,2.6,39468,0.0,0
173,2.8,39408,0.0,0
174,2.7,39472,0.0,0
175,3.0,39568,0.0,0
176,2.7,39472,0.0,0
178,2.6,39340,0.0,0
179,2.6,39340,0.0,0
180,2.8,39340,0.0,0
181,2.9,39180,0.0,0
182,2.9,39180,0.0,0
183,2.8,39412,0.0,0
184,2.8,39476,0.0,0
185,3.0,39572,0.0,0
186,2.7,39476,0.0,0
187,2.5,39572,0.0,0
189,2.7,39340,0.0,0
190,2.8,39340,0.0,0
191,2.7,39340,0.0,0
192,2.7,39340,0.0,0
193,2.6,39180,0.0,0
194,2.8,39472,0.0,0
195,2.9,39416,0.0,0
196,2.9,39480,0.0,0
197,2.3,39576,0.0,0
198,2.7,39480,0.0,0
199,2.8,39344,0.0,0
201,2.4,39344,0.0,0
202,2.4,39344,0.0,0
203,3.0,39184,0.0,0
204,3.0,39184,0.0,0
205,2.7,39416,0.0,0
206,2.9,39476,0.0,0
207,2.8,39416,0.0,0
208,3.0,39480,0.0,0
209,2.5,39576,0.0,0
210,2.7,39480,0.0,0
212,2.8,39344,0.0,0
213,2.7,39344,0.0,0
214,2.7,39344,0.0,0
215,2.7,39184,0.0,0
216,2.3,39320,0.0,0
217,2.3,39416,0.0,0
218,2.8,39480,0.0,0
219,3.0,39576,0.0,0
220,2.8,39480,0.0,0
221,2.9,39344,0.0,0
223,2.7,39344,0.0,0
224,2.9,39344,0.0,0
225,3.0,39184,0.0,0
226,2.6,39184,0.0,0
227,2.8,39416,0.0,0
228,3.0,39476,0.0,0
229,3.0,39416,0.0,0
230,2.8,39480,0.0,0
231,3.0,39576,0.0,0
232,2.5,39480,0.0,0
234,2.7,39344,0.0,0
235,2.9,39344,0.0,0
236,2.9,39344,0.0,0
237,2.8,39184,0.0,0
238,2.9,39476,0.0,0
239,2.9,39416,0.0,0
240,2.7,39480,0.0,0
241,2.8,39576,0.0,0
242,2.8,39480,0.0,0
243,2.7,39344,0.0,0
245,2.9,39344,0.0,0
246,2.9,39344,0.0,0
247,2.9,39184,0.0,0
248,2.8,39184,0.0,0
249,2.4,39416,0.0,0
250,2.8,39480,0.0,0
251,2.5,39576,0.0,0
252,2.6,39480,0.0,0
253,2.4,39576,0.0,0
254,2.9,39344,0.0,0
256,3.0,39344,0.0,0
257,2.3,39344,0.0,0
258,2.6,39344,0.0,0
259,2.6,39184,0.0,0
260,3.0,39476,0.0,0
261,2.8,39416,0.0,0
262,2.8,39480,0.0,0
263,2.8,39576,0.0,0
264,2.8,39480,0.0,0
265,3.0,39344,0.0,0
267,2.6,39344,0.0,0
268,2.9,39348,0.0,0
269,2.7,39188,0.0,0
270,2.8,39188,0.0,0
271,2.5,39420,0.0,0
272,2.8,39484,0.0,0
273,2.8,39676,0.0,0
274,2.9,39580,0.0,0
275,2.8,39676,0.0,0
276,3.0,39444,0.0,0
278,2.9,39444,0.0,0
279,2.9,39444,0.0,0
280,2.5,39444,0.0,0
281,2.7,39516,0.0,0
282,3.0,39576,0.0,0
283,2.6,39516,0.0,0
284,2.9,39580,0.0,0
285,2.7,39676,0.0,0
286,2.5,39580,0.0,0
