elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,96,0.0,0
1,7.0,36920,0.0,0
2,3.0,37016,0.0,0
3,2.9,37092,0.0,0
4,2.9,37060,0.0,0
5,2.7,37100,0.0,0
6,3.0,37084,0.0,0
7,2.9,37160,0.0,0
8,3.0,37084,0.0,0
9,2.9,37084,0.0,0
11,2.9,37028,0.0,0
12,3.1,36980,0.0,0
13,3.0,37012,0.0,0
14,2.8,37048,0.0,0
15,2.9,37092,0.0,0
16,3.0,37104,0.0,0
17,2.7,37180,0.0,0
18,2.9,37108,0.0,0
19,2.8,37108,0.0,0
20,2.5,37108,0.0,0
22,2.8,37108,0.0,0
23,3.0,37096,0.0,0
24,2.8,37096,0.0,0
25,2.9,37172,0.0,0
26,2.9,37144,0.0,0
27,2.8,37228,0.0,0
28,2.8,37152,0.0,0
29,2.9,37232,0.0,0
30,3.1,34556,0.0,0
32,2.8,34556,0.0,0
33,2.8,34556,0.0,0
34,2.8,34508,0.0,0
35,2.8,34492,0.0,0
36,2.9,34532,0.0,0
37,2.9,34568,0.0,0
38,2.8,34540,0.0,0
39,2.8,34616,0.0,0
40,2.7,34540,0.0,0
41,2.8,34540,0.0,0
42,2.8,34564,0.0,0
44,3.0,34564,0.0,0
45,2.8,34516,0.0,0
46,2.8,34516,0.0,0
47,2.7,34592,0.0,0
48,2.7,34564,0.0,0
49,2.8,34592,0.0,0
50,2.8,34564,0.0,0
51,2.8,34668,0.0,0
52,2.7,34592,0.0,0
53,4.0,34824,0.0,0
55,4.7,34960,0.0,0
56,3.0,34920,0.0,0
57,3.4,34924,0.0,0
58,2.7,34964,0.0,0
59,3.0,35000,0.0,0
60,2.8,35000,0.0,0
61,2.9,35080,0.0,0
62,3.1,35004,0.0,0
63,3.1,35004,0.0,0
65,3.0,35004,0.0,0
66,2.9,34960,0.0,0
67,4.1,34968,0.0,0
68,3.7,35072,0.0,0
69,3.0,35108,0.0,0
70,2.8,35080,0.0,0
71,3.1,35156,0.0,0
72,2.9,35088,0.0,0
73,3.1,35088,0.0,0
75,2.9,35088,0.0,0
76,3.0,35040,0.0,0
77,3.0,35040,0.0,0
78,3.1,35040,0.0,0
79,3.0,35116,0.0,0
80,2.9,35088,0.0,0
81,3.0,35164,0.0,0
82,2.8,35088,0.0,0
83,2.9,35164,0.0,0
84,3.0,35088,0.0,0
86,3.0,35088,0.0,0
87,2.9,35040,0.0,0
88,2.9,35040,0.0,0
89,2.8,35116,0.0,0
90,2.7,35088,0.0,0
91,2.9,35164,0.0,0
92,2.9,35088,0.0,0
93,3.0,35168,0.0,0
94,2.9,35092,0.0,0
96,2.9,35092,0.0,0
97,2.8,35092,0.0,0
98,2.9,35044,0.0,0
99,2.9,35044,0.0,0
100,3.0,35084,0.0,0
101,2.8,35120,0.0,0
102,2.9,35092,0.0,0
103,3.1,35168,0.0,0
104,2.7,35092,0.0,0
105,2.8,35092,0.0,0
107,2.7,35092,0.0,0
