elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,652,0.0,0
1,9.8,54816,0.0,0
2,3.7,55052,0.0,0
3,3.9,55332,0.0,0
4,3.8,55396,0.0,0
5,4.0,55524,0.0,0
6,4.2,55428,0.0,0
7,3.8,55536,0.0,0
8,4.0,55308,0.0,0
10,4.1,55308,0.0,0
11,3.9,55152,0.0,0
12,4.1,55152,0.0,0
13,4.1,55384,0.0,0
14,4.0,55448,0.0,0
15,4.0,55544,0.0,0
16,4.3,55464,0.0,0
18,4.4,55348,0.0,0
19,4.2,55188,0.0,0
20,4.2,55188,0.0,0
21,4.2,55420,0.0,0
22,4.1,55484,0.0,0
23,4.0,55580,0.0,0
24,4.2,55488,0.0,0
25,4.1,55356,0.0,0
27,4.5,55356,0.0,0
28,4.0,55356,0.0,0
29,4.0,55428,0.0,0
30,5.1,55692,0.0,0
31,4.3,55836,0.0,0
32,4.1,55740,0.0,0
33,4.3,55604,0.0,0
35,4.7,55604,0.0,0
36,4.3,55604,0.0,0
37,4.4,55680,0.0,0
38,4.5,55740,0.0,0
39,4.6,55840,0.0,0
40,4.3,55744,0.0,0
41,4.7,55608,0.0,0
43,4.4,55608,0.0,0
44,4.3,55448,0.0,0
45,4.7,55680,0.0,0
46,4.8,55744,0.0,0
47,4.4,55840,0.0,0
48,4.5,55744,0.0,0
49,4.6,55640,0.0,0
51,4.6,55480,0.0,0
52,4.5,55524,0.0,0
53,4.6,55760,0.0,0
54,4.8,55824,0.0,0
55,5.0,55920,0.0,0
56,5.0,55688,0.0,0
58,4.5,55688,0.0,0
59,4.9,55528,0.0,0
60,4.9,55820,0.0,0
61,4.8,55760,0.0,0
62,5.0,55824,0.0,0
63,5.3,55688,0.0,0
65,5.1,55688,0.0,0
66,4.8,55528,0.0,0
67,4.9,55760,0.0,0
68,5.2,55824,0.0,0
69,4.6,55920,0.0,0
70,4.8,55824,0.0,0
72,4.7,55688,0.0,0
73,5.0,55528,0.0,0
74,4.9,55664,0.0,0
75,4.8,55760,0.0,0
76,5.0,55824,0.0,0
77,5.1,55688,0.0,0
79,5.3,55688,0.0,0
80,5.2,55528,0.0,0
81,5.5,55760,0.0,0
82,5.2,55824,0.0,0
83,5.1,55920,0.0,0
84,5.2,55688,0.0,0
86,5.4,55688,0.0,0
87,5.3,55528,0.0,0
88,4.8,55820,0.0,0
89,4.9,55920,0.0,0
90,5.8,55824,0.0,0
91,5.5,55688,0.0,0
93,5.6,55528,0.0,0
94,5.8,55528,0.0,0
95,5.6,55760,0.0,0
