elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,96,0.0,0
1,8.7,19932,0.0,0
2,3.0,19948,0.0,0
3,3.9,19952,0.0,0
4,4.3,20288,0.0,0
5,3.6,20324,0.0,0
6,4.1,20248,0.0,0
7,2.1,20312,0.0,0
8,2.7,20316,0.0,0
9,3.9,20320,0.0,0
10,3.7,20320,0.0,0
11,4.4,20320,0.0,0
12,4.7,20320,0.0,0
13,4.5,20332,0.0,0
14,5.3,20332,0.0,0
15,5.1,20396,0.0,0
16,5.1,20400,0.0,0
17,5.4,20400,0.0,0
18,5.9,20400,0.0,0
19,4.1,20488,0.0,0
20,4.8,20508,0.0,0
21,5.2,20508,0.0,0
22,5.2,20508,0.0,0
23,4.7,20520,0.0,0
24,4.8,20512,0.0,0
25,5.4,20480,0.0,0
26,5.8,20484,0.0,0
27,5.5,20484,0.0,0
28,5.3,20484,0.0,0
29,4.9,20492,0.0,0
30,5.6,20492,0.0,0
31,5.1,20512,0.0,0
32,5.6,20516,0.0,0
33,4.6,20516,0.0,0
34,4.5,20524,0.0,0
35,4.7,20524,0.0,0
36,3.8,20524,0.0,0
37,4.8,20512,0.0,0
38,5.0,20532,0.0,0
39,5.2,20532,0.0,0
40,4.9,20536,0.0,0
41,5.2,20536,0.0,0
42,5.1,20536,0.0,0
43,5.4,20528,0.0,0
44,5.8,20532,0.0,0
45,5.2,20548,0.0,0
46,5.7,20556,0.0,0
47,5.1,20556,0.0,0
48,3.6,20556,0.0,0
49,4.1,20560,0.0,0
50,5.8,20560,0.0,0
51,5.1,20576,0.0,0
52,5.3,20580,0.0,0
53,4.9,20580,0.0,0
54,5.3,20584,0.0,0
55,5.3,20584,0.0,0
56,5.6,20644,0.0,0
57,5.3,20648,0.0,0
58,5.6,20648,0.0,0
59,5.3,20676,0.0,0
60,5.5,20684,0.0,0
61,4.8,20684,0.0,0
62,4.6,20648,0.0,0
63,5.3,20688,0.0,0
64,5.5,20688,0.0,0
65,4.8,20688,0.0,0
66,5.2,20692,0.0,0
67,5.2,20692,0.0,0
68,5.5,20672,0.0,0
69,5.5,20700,0.0,0
70,5.0,20700,0.0,0
71,4.9,20700,0.0,0
72,5.7,20704,0.0,0
73,5.1,20704,0.0,0
74,5.0,20704,0.0,0
75,5.6,20708,0.0,0
76,5.3,20712,0.0,0
77,5.3,20716,0.0,0
78,5.5,20720,0.0,0
79,4.9,20772,0.0,0
80,5.0,20776,0.0,0
81,5.4,20820,0.0,0
82,5.1,20832,0.0,0
83,5.2,20832,0.0,0
84,5.2,20832,0.0,0
85,5.4,20840,0.0,0
86,5.3,20840,0.0,0
87,5.5,20804,0.0,0
88,5.0,20804,0.0,0
89,5.3,20804,0.0,0
90,5.3,20804,0.0,0
91,5.4,20804,0.0,0
92,5.2,20812,0.0,0
93,4.9,20812,0.0,0
94,5.6,20812,0.0,0
95,5.0,20812,0.0,0
96,5.6,20812,0.0,0
97,5.0,20812,0.0,0
98,5.5,20812,0.0,0
99,4.7,20816,0.0,0
100,5.9,20844,0.0,0
101,5.3,20844,0.0,0
102,4.9,20844,0.0,0
103,5.3,20848,0.0,0
104,5.3,20848,0.0,0
105,4.8,20840,0.0,0
106,5.7,20848,0.0,0
107,5.4,20856,0.0,0
108,4.9,20884,0.0,0
109,5.3,20884,0.0,0
110,5.5,20884,0.0,0
111,4.6,20884,0.0,0
112,6.0,20848,0.0,0
113,5.1,20868,0.0,0
114,5.0,20872,0.0,0
115,4.9,20872,0.0,0
116,5.4,20872,0.0,0
117,5.2,20876,0.0,0
118,6.0,20856,0.0,0
119,5.9,20884,0.0,0
120,5.3,20884,0.0,0
121,5.2,20896,0.0,0
122,5.6,20896,0.0,0
123,5.3,20896,0.0,0
124,4.7,20888,0.0,0
125,5.6,20880,0.0,0
126,5.4,20880,0.0,0
127,5.0,20880,0.0,0
128,5.0,20880,0.0,0
129,4.9,20880,0.0,0
130,4.9,20908,0.0,0
131,6.0,20928,0.0,0
132,5.6,20928,0.0,0
133,4.9,20928,0.0,0
134,5.3,20928,0.0,0
135,5.5,20928,0.0,0
136,4.8,20928,0.0,0
137,5.8,20908,0.0,0
138,5.1,20944,0.0,0
139,4.0,20944,0.0,0
140,5.3,20972,0.0,0
141,5.5,20972,0.0,0
142,4.5,20976,0.0,0
143,5.2,20940,0.0,0
144,5.5,20948,0.0,0
145,4.2,20912,0.0,0
146,5.5,20912,0.0,0
147,5.4,20912,0.0,0
148,5.5,20912,0.0,0
149,5.2,20912,0.0,0
150,6.2,20940,0.0,0
151,5.2,20940,0.0,0
152,5.1,20940,0.0,0
153,5.5,20940,0.0,0
154,5.3,20944,0.0,0
155,4.8,20936,0.0,0
156,6.1,20936,0.0,0
157,5.2,20936,0.0,0
158,5.4,20936,0.0,0
159,5.3,20940,0.0,0
160,5.4,20940,0.0,0
161,5.0,20940,0.0,0
162,6.0,20920,0.0,0
163,5.5,20940,0.0,0
164,5.4,20940,0.0,0
165,4.5,20940,0.0,0
166,5.1,20940,0.0,0
167,5.3,20940,0.0,0
168,5.7,20920,0.0,0
169,5.3,20960,0.0,0
170,4.7,20960,0.0,0
171,5.2,20960,0.0,0
172,5.5,20960,0.0,0
173,5.0,20960,0.0,0
174,4.8,20944,0.0,0
175,5.8,20944,0.0,0
176,5.5,20948,0.0,0
177,5.2,20948,0.0,0
178,5.4,20948,0.0,0
179,3.9,20948,0.0,0
180,5.0,20948,0.0,0
181,5.5,20936,0.0,0
182,5.2,20936,0.0,0
183,5.0,20936,0.0,0
184,5.2,20936,0.0,0
185,5.0,20936,0.0,0
186,5.2,20928,0.0,0
187,5.5,20928,0.0,0
188,4.7,20948,0.0,0
189,5.3,20948,0.0,0
190,5.3,20948,0.0,0
191,4.4,20948,0.0,0
192,5.0,20948,0.0,0
193,5.2,20932,0.0,0
194,5.6,20932,0.0,0
195,5.3,20932,0.0,0
196,5.8,20936,0.0,0
197,5.1,20936,0.0,0
198,5.0,20936,0.0,0
199,5.2,20940,0.0,0
200,5.5,20948,0.0,0
201,5.1,20948,0.0,0
202,5.1,20948,0.0,0
203,4.8,20948,0.0,0
204,5.4,20948,0.0,0
205,5.2,20940,0.0,0
206,5.9,20940,0.0,0
207,5.4,20940,0.0,0
208,5.6,20940,0.0,0
209,5.4,20940,0.0,0
210,5.0,20940,0.0,0
211,4.8,20940,0.0,0
212,5.1,20948,0.0,0
213,5.2,20948,0.0,0
214,5.3,20948,0.0,0
215,5.1,20948,0.0,0
216,4.9,20948,0.0,0
217,5.3,20940,0.0,0
218,6.0,20940,0.0,0
219,5.5,20940,0.0,0
220,4.9,20940,0.0,0
221,5.2,20940,0.0,0
222,5.1,20940,0.0,0
223,5.3,20940,0.0,0
224,5.0,20940,0.0,0
225,5.2,20968,0.0,0
226,5.7,20968,0.0,0
227,5.4,20968,0.0,0
228,5.4,20968,0.0,0
229,4.9,20968,0.0,0
230,5.2,20960,0.0,0
231,5.7,20948,0.0,0
232,5.4,20948,0.0,0
233,4.9,20948,0.0,0
234,5.2,20948,0.0,0
235,5.6,20948,0.0,0
236,5.4,20940,0.0,0
237,5.6,20940,0.0,0
238,4.9,20940,0.0,0
239,5.5,20940,0.0,0
240,5.6,20940,0.0,0
241,5.3,20940,0.0,0
242,5.4,20940,0.0,0
243,5.3,20940,0.0,0
244,5.0,20960,0.0,0
245,5.4,20960,0.0,0
246,5.5,20960,0.0,0
247,4.5,20960,0.0,0
248,5.7,20960,0.0,0
249,5.3,20960,0.0,0
250,4.7,20948,0.0,0
251,4.9,20948,0.0,0
252,5.0,20948,0.0,0
253,4.8,20948,0.0,0
254,5.7,20948,0.0,0
255,5.4,20940,0.0,0
256,5.8,20940,0.0,0
257,5.4,20940,0.0,0
258,5.6,20940,0.0,0
259,5.1,20940,0.0,0
260,4.9,20940,0.0,0
261,5.1,20940,0.0,0
262,5.9,20940,0.0,0
263,5.0,20940,0.0,0
