elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,1012,0.0,0
1,4.2,19540,0.0,0
2,0.8,19636,0.0,0
3,1.2,19612,0.0,0
4,1.5,19980,0.0,0
5,1.2,19980,0.0,0
6,1.0,19980,0.0,0
7,1.5,19980,0.0,0
8,1.6,19996,0.0,0
9,2.1,19920,0.0,0
10,1.7,19924,0.0,0
11,1.7,19944,0.0,0
12,1.9,19944,0.0,0
13,1.8,19952,0.0,0
14,1.6,19956,0.0,0
15,2.1,20000,0.0,0
16,1.9,20060,0.0,0
17,1.9,20060,0.0,0
18,1.7,20068,0.0,0
19,1.6,20068,0.0,0
20,1.9,20060,0.0,0
21,1.9,20060,0.0,0
22,1.8,20116,0.0,0
23,1.8,20124,0.0,0
24,1.9,20152,0.0,0
25,1.9,20152,0.0,0
26,1.9,20152,0.0,0
27,2.1,20136,0.0,0
28,1.8,20140,0.0,0
29,1.8,20140,0.0,0
30,1.8,20140,0.0,0
31,1.8,20144,0.0,0
32,1.9,20144,0.0,0
33,1.4,20148,0.0,0
34,2.1,20196,0.0,0
35,2.0,20196,0.0,0
36,1.8,20196,0.0,0
37,1.8,20200,0.0,0
38,1.8,20216,0.0,0
39,1.8,20236,0.0,0
40,2.2,20236,0.0,0
41,2.1,20244,0.0,0
42,1.7,20248,0.0,0
43,1.9,20364,0.0,0
44,1.9,20364,0.0,0
45,1.9,20364,0.0,0
46,1.8,20356,0.0,0
47,1.7,20360,0.0,0
48,2.0,20364,0.0,0
49,1.7,20364,0.0,0
50,1.9,20372,0.0,0
51,1.9,20372,0.0,0
52,2.0,20396,0.0,0
53,1.9,20400,0.0,0
54,2.2,20428,0.0,0
55,1.7,20432,0.0,0
56,1.9,20436,0.0,0
57,1.9,20436,0.0,0
58,1.8,20428,0.0,0
59,2.0,20432,0.0,0
60,1.6,20436,0.0,0
