elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,976,0.0,0
1,16.3,35660,0.0,0
2,4.8,36344,0.0,0
3,4.5,36412,0.0,0
4,6.8,36508,0.0,0
5,10.6,36640,0.0,0
6,2.9,36484,0.0,0
7,7.9,36624,0.0,0
8,8.9,36644,0.0,0
9,5.3,36648,0.0,0
10,7.6,36688,0.0,0
11,6.7,36612,0.0,0
12,6.7,36612,0.0,0
13,7.2,36648,0.0,0
14,7.5,36648,0.0,0
15,7.4,36652,0.0,0
16,8.0,36660,0.0,0
17,6.5,36660,0.0,0
18,7.2,36660,0.0,0
19,5.9,36652,0.0,0
20,6.8,36668,0.0,0
21,6.1,36692,0.0,0
22,5.6,36672,0.0,0
23,5.9,36676,0.0,0
24,5.0,36676,0.0,0
25,6.6,36764,0.0,0
26,6.9,36780,0.0,0
27,6.8,36780,0.0,0
28,6.6,36780,0.0,0
29,6.5,36776,0.0,0
30,6.1,36788,0.0,0
31,6.9,36780,0.0,0
32,7.7,36784,0.0,0
33,5.5,36784,0.0,0
34,6.9,36808,0.0,0
35,6.3,36808,0.0,0
36,5.5,36820,0.0,0
37,4.3,36820,0.0,0
38,7.5,36832,0.0,0
39,7.6,36832,0.0,0
40,6.6,36832,0.0,0
41,6.2,36832,0.0,0
42,6.7,36832,0.0,0
43,6.8,36836,0.0,0
44,6.5,36872,0.0,0
45,6.1,36872,0.0,0
46,7.7,36844,0.0,0
47,6.8,36848,0.0,0
48,7.1,36884,0.0,0
49,6.7,36884,0.0,0
50,8.0,36888,0.0,0
51,7.2,36888,0.0,0
52,7.7,36884,0.0,0
53,5.1,36892,0.0,0
54,7.9,36868,0.0,0
55,6.7,36868,0.0,0
56,7.2,36896,0.0,0
57,7.5,36904,0.0,0
58,7.6,36876,0.0,0
59,6.6,36876,0.0,0
60,7.5,36876,0.0,0
61,7.5,36900,0.0,0
62,6.9,36888,0.0,0
63,7.3,36904,0.0,0
64,7.5,36908,0.0,0
65,5.8,36936,0.0,0
66,7.7,36952,0.0,0
67,7.1,36944,0.0,0
68,7.6,36936,0.0,0
69,6.5,36932,0.0,0
70,8.2,36936,0.0,0
71,7.0,38836,0.0,0
72,8.3,38244,0.0,0
73,7.2,38244,0.0,0
74,8.7,38460,0.0,0
75,7.9,38412,0.0,0
76,9.0,38500,0.0,0
77,5.3,38588,0.0,0
78,4.0,38588,0.0,0
79,6.1,38588,0.0,0
80,0.9,38588,0.0,0
81,7.0,38572,0.0,0
82,7.8,38572,0.0,0
83,3.4,38576,0.0,0
84,7.1,38576,0.0,0
85,5.6,38576,0.0,0
86,8.2,39684,0.0,0
87,6.5,39688,0.0,0
88,8.7,38740,0.0,0
89,7.0,38740,0.0,0
90,7.2,38740,0.0,0
91,7.2,38744,0.0,0
92,10.1,39488,0.0,0
93,7.2,39488,0.0,0
94,8.3,39176,0.0,0
95,6.4,39176,0.0,0
96,6.3,39672,0.0,0
97,6.7,39840,0.0,0
98,7.8,39840,0.0,0
99,6.9,39800,0.0,0
100,7.5,39824,0.0,0
101,7.3,39824,0.0,0
102,6.4,39824,0.0,0
103,7.6,39804,0.0,0
104,8.5,39940,0.0,0
105,7.3,39940,0.0,0
106,6.9,39876,0.0,0
107,8.4,40572,0.0,0
108,6.3,40220,0.0,0
109,6.1,40220,0.0,0
110,7.6,40224,0.0,0
111,6.8,40224,0.0,0
112,6.2,40316,0.0,0
113,7.8,39848,0.0,0
114,11.1,39852,0.0,0
115,10.1,39872,0.0,0
116,12.2,40372,0.0,0
117,13.2,40384,0.0,0
118,10.1,39700,0.0,0
119,14.6,39728,0.0,0
120,10.8,40496,0.0,0
121,11.5,39824,0.0,0
122,11.6,39872,0.0,0
123,8.9,39888,0.0,0
124,9.2,39900,0.0,0
125,7.2,39776,0.0,0
126,7.2,39804,0.0,0
127,6.8,39812,0.0,0
128,11.3,39824,0.0,0
129,14.0,39840,0.0,0
130,8.1,39832,0.0,0
131,7.1,39844,0.0,0
132,7.9,39852,0.0,0
133,8.1,40636,0.0,0
134,9.0,40640,0.0,0
135,9.1,40640,0.0,0
136,9.7,40648,0.0,0
137,8.5,40660,0.0,0
138,11.6,40668,0.0,0
139,8.6,40680,0.0,0
140,10.3,40684,0.0,0
141,7.9,40696,0.0,0
142,7.5,40696,0.0,0
143,8.8,40728,0.0,0
144,8.4,40736,0.0,0
145,6.9,40736,0.0,0
146,7.0,40736,0.0,0
147,8.7,40744,0.0,0
148,8.7,40744,0.0,0
149,9.4,40748,0.0,0
150,11.0,40764,0.0,0
151,8.1,40772,0.0,0
152,9.3,40780,0.0,0
153,11.0,40788,0.0,0
154,9.8,40788,0.0,0
155,7.8,40792,0.0,0
156,7.3,40796,0.0,0
157,7.1,40816,0.0,0
158,7.1,40872,0.0,0
159,7.1,40872,0.0,0
160,7.6,40876,0.0,0
161,8.1,40876,0.0,0
162,7.7,40876,0.0,0
163,8.8,40880,0.0,0
164,8.6,40884,0.0,0
165,7.9,40884,0.0,0
166,10.3,40896,0.0,0
167,7.0,40900,0.0,0
168,8.1,40892,0.0,0
169,5.3,40924,0.0,0
170,5.6,40908,0.0,0
171,4.9,40956,0.0,0
172,5.7,40956,0.0,0
173,5.9,40956,0.0,0
174,7.7,40960,0.0,0
175,7.6,40936,0.0,0
176,9.9,40932,0.0,0
177,7.3,40936,0.0,0
178,12.3,40956,0.0,0
179,10.6,40968,0.0,0
180,8.1,40984,0.0,0
