elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,1072,0.0,0
1,15.5,35400,0.0,0
2,3.9,35824,0.0,0
3,4.7,36004,0.0,0
4,4.7,35924,0.0,0
5,3.1,35924,0.0,0
6,5.3,35824,0.0,0
7,5.4,35824,0.0,0
8,4.8,35900,0.0,0
9,5.2,35924,0.0,0
10,4.6,35960,0.0,0
11,4.3,35944,0.0,0
12,5.3,35944,0.0,0
13,5.5,35976,0.0,0
14,6.4,35980,0.0,0
15,5.9,35984,0.0,0
16,7.0,35984,0.0,0
17,7.1,35984,0.0,0
18,6.5,35984,0.0,0
19,6.7,35976,0.0,0
20,6.9,35976,0.0,0
21,4.8,36008,0.0,0
22,6.2,36008,0.0,0
23,4.9,36008,0.0,0
24,5.5,36028,0.0,0
25,5.9,36036,0.0,0
26,7.0,36068,0.0,0
27,6.0,36128,0.0,0
28,4.9,36144,0.0,0
29,6.3,36148,0.0,0
30,5.4,36148,0.0,0
31,5.6,36152,0.0,0
32,5.2,36132,0.0,0
33,5.9,36132,0.0,0
34,6.1,36148,0.0,0
35,6.7,36148,0.0,0
36,6.7,36156,0.0,0
37,6.3,36156,0.0,0
38,6.7,36156,0.0,0
39,7.4,36160,0.0,0
40,6.6,36184,0.0,0
41,6.5,36184,0.0,0
42,6.6,36184,0.0,0
43,7.0,36184,0.0,0
44,6.5,36184,0.0,0
45,6.6,36200,0.0,0
46,5.6,36216,0.0,0
47,6.3,36216,0.0,0
48,6.0,36216,0.0,0
49,5.0,36216,0.0,0
50,5.3,36212,0.0,0
51,5.2,36216,0.0,0
52,5.3,36256,0.0,0
53,5.8,36256,0.0,0
54,6.6,36260,0.0,0
55,5.4,36260,0.0,0
56,7.0,36260,0.0,0
57,6.6,36244,0.0,0
58,6.6,36264,0.0,0
59,6.6,36264,0.0,0
60,7.1,36264,0.0,0
61,7.2,36264,0.0,0
62,7.3,36268,0.0,0
63,8.0,36300,0.0,0
64,8.7,36304,0.0,0
65,6.8,36328,0.0,0
66,6.7,36328,0.0,0
67,6.2,36356,0.0,0
68,8.2,36388,0.0,0
69,6.8,36380,0.0,0
70,6.4,36368,0.0,0
71,6.4,36368,0.0,0
72,7.0,36372,0.0,0
73,7.0,36372,0.0,0
74,6.5,36372,0.0,0
75,6.8,36372,0.0,0
76,5.5,36372,0.0,0
77,6.2,36376,0.0,0
78,6.8,36376,0.0,0
79,6.5,36376,0.0,0
80,5.4,36376,0.0,0
81,7.2,36392,0.0,0
82,5.8,36392,0.0,0
83,6.4,36396,0.0,0
84,8.2,36520,0.0,0
85,7.0,36520,0.0,0
86,5.6,36516,0.0,0
87,6.4,36516,0.0,0
88,6.6,36424,0.0,0
89,7.3,36432,0.0,0
90,6.4,36432,0.0,0
91,6.7,36436,0.0,0
92,7.3,36420,0.0,0
93,7.5,36436,0.0,0
94,4.2,36420,0.0,0
95,7.4,36460,0.0,0
96,6.9,36448,0.0,0
97,7.7,36488,0.0,0
98,7.3,36464,0.0,0
99,5.9,36464,0.0,0
100,5.8,36464,0.0,0
101,4.7,36484,0.0,0
102,6.4,36516,0.0,0
103,6.9,36516,0.0,0
104,5.6,36524,0.0,0
105,5.6,36528,0.0,0
106,5.7,36540,0.0,0
107,7.0,36536,0.0,0
108,6.1,36536,0.0,0
109,7.1,36536,0.0,0
110,6.9,36536,0.0,0
111,5.9,36536,0.0,0
112,6.8,36536,0.0,0
113,6.7,36536,0.0,0
114,7.7,36540,0.0,0
115,7.2,36536,0.0,0
116,6.4,36536,0.0,0
117,7.2,36516,0.0,0
118,6.8,36520,0.0,0
119,7.1,36520,0.0,0
120,7.1,36552,0.0,0
121,7.0,36560,0.0,0
122,7.2,36564,0.0,0
123,7.0,36568,0.0,0
124,7.1,36584,0.0,0
125,7.4,36568,0.0,0
126,7.4,36544,0.0,0
127,7.1,36544,0.0,0
128,6.8,36544,0.0,0
129,7.0,36544,0.0,0
130,6.5,36544,0.0,0
131,7.4,36548,0.0,0
132,6.9,36544,0.0,0
133,6.3,36568,0.0,0
134,7.2,36584,0.0,0
135,7.1,36588,0.0,0
136,6.7,36588,0.0,0
137,7.0,36592,0.0,0
138,6.7,36576,0.0,0
139,7.2,36560,0.0,0
140,7.1,36560,0.0,0
141,6.7,36536,0.0,0
142,5.3,36540,0.0,0
143,7.2,36564,0.0,0
144,6.6,36576,0.0,0
145,6.5,36580,0.0,0
146,7.1,36580,0.0,0
147,7.6,36580,0.0,0
148,7.1,36572,0.0,0
149,7.5,36552,0.0,0
150,6.4,36552,0.0,0
151,7.2,36576,0.0,0
152,7.3,36592,0.0,0
153,5.4,36568,0.0,0
154,6.8,36568,0.0,0
155,6.7,36568,0.0,0
156,7.6,36592,0.0,0
157,6.6,36600,0.0,0
158,7.1,36600,0.0,0
159,6.9,36604,0.0,0
160,6.4,36604,0.0,0
161,6.2,36604,0.0,0
162,7.2,36596,0.0,0
163,6.5,36596,0.0,0
164,5.9,36592,0.0,0
165,7.6,36608,0.0,0
166,7.4,36608,0.0,0
167,6.2,36608,0.0,0
168,7.1,36608,0.0,0
169,6.8,36608,0.0,0
170,6.5,36644,0.0,0
171,7.0,36644,0.0,0
172,7.0,36644,0.0,0
173,7.4,36616,0.0,0
174,7.6,36636,0.0,0
175,6.8,36640,0.0,0
176,7.3,36640,0.0,0
177,7.3,36644,0.0,0
178,7.0,36668,0.0,0
179,7.9,36672,0.0,0
180,6.1,36660,0.0,0
