elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,1024,0.0,0
1,14.5,35428,0.0,0
2,3.4,36040,0.0,0
3,2.7,36164,0.0,0
4,4.6,36276,0.0,0
5,3.7,36224,0.0,0
6,4.1,36032,0.0,0
7,5.5,36044,0.0,0
8,1.1,36048,0.0,0
9,5.2,36056,0.0,0
10,12.0,36108,0.0,0
11,12.1,36460,0.0,0
12,12.4,37068,0.0,0
13,13.0,38272,0.0,0
14,9.9,38308,0.0,0
15,7.2,38032,0.0,0
16,8.8,37672,0.0,0
17,10.6,36940,0.0,0
18,10.4,36980,0.0,0
19,6.3,37008,0.0,0
20,1.0,37016,0.0,0
21,0.9,36988,0.0,0
22,4.6,36988,0.0,0
23,1.0,36992,0.0,0
24,0.9,36992,0.0,0
25,4.0,36992,0.0,0
26,1.1,36992,0.0,0
27,3.0,36996,0.0,0
28,1.1,37004,0.0,0
29,1.8,37004,0.0,0
30,5.1,37020,0.0,0
31,1.9,37020,0.0,0
32,11.8,37036,0.0,0
33,6.8,37048,0.0,0
34,7.3,37952,0.0,0
35,13.1,37984,0.0,0
36,11.1,37872,0.0,0
37,9.9,37780,0.0,0
38,13.4,37792,0.0,0
39,9.0,38020,0.0,0
40,7.8,38028,0.0,0
41,11.0,38076,0.0,0
42,9.0,37744,0.0,0
43,9.4,38076,0.0,0
44,9.9,38080,0.0,0
45,5.1,38084,0.0,0
46,3.4,38084,0.0,0
47,4.4,38084,0.0,0
48,6.9,38092,0.0,0
49,3.8,38096,0.0,0
50,7.1,38100,0.0,0
51,6.9,38100,0.0,0
52,8.2,38108,0.0,0
53,7.3,38252,0.0,0
54,7.6,38288,0.0,0
55,6.6,38932,0.0,0
56,7.0,38968,0.0,0
57,7.0,38976,0.0,0
58,4.3,39004,0.0,0
59,5.1,39012,0.0,0
60,5.6,39012,0.0,0
61,3.8,39012,0.0,0
62,7.2,38716,0.0,0
63,6.9,38720,0.0,0
64,4.5,38720,0.0,0
65,3.9,38720,0.0,0
66,3.9,38724,0.0,0
67,6.7,38724,0.0,0
68,6.2,38728,0.0,0
69,6.9,38728,0.0,0
70,6.4,38728,0.0,0
71,6.6,38728,0.0,0
72,5.7,38728,0.0,0
73,6.9,38728,0.0,0
74,5.7,38608,0.0,0
75,6.8,38608,0.0,0
76,6.7,38608,0.0,0
77,6.2,38608,0.0,0
78,7.3,38608,0.0,0
79,5.6,38608,0.0,0
80,5.5,38612,0.0,0
81,6.6,38612,0.0,0
82,7.0,38612,0.0,0
83,6.3,38612,0.0,0
84,6.3,38612,0.0,0
85,6.2,38612,0.0,0
86,6.0,38620,0.0,0
87,6.2,38620,0.0,0
88,6.3,38620,0.0,0
89,6.6,38620,0.0,0
90,7.1,38620,0.0,0
91,6.4,38620,0.0,0
92,7.2,38620,0.0,0
93,6.6,38624,0.0,0
94,7.2,38628,0.0,0
95,5.8,38628,0.0,0
96,6.3,38628,0.0,0
97,6.1,38632,0.0,0
98,6.2,38636,0.0,0
99,5.1,38636,0.0,0
100,5.5,38636,0.0,0
101,5.4,38640,0.0,0
102,6.1,38640,0.0,0
103,5.8,38640,0.0,0
104,5.2,38640,0.0,0
105,5.5,38640,0.0,0
106,6.6,38648,0.0,0
107,5.5,38680,0.0,0
108,6.4,38680,0.0,0
109,6.0,38680,0.0,0
110,6.9,38684,0.0,0
111,6.0,38684,0.0,0
112,6.5,38684,0.0,0
113,5.8,38688,0.0,0
114,6.4,38688,0.0,0
115,6.3,38692,0.0,0
116,6.3,38692,0.0,0
117,5.7,38692,0.0,0
118,6.8,38692,0.0,0
119,4.8,38692,0.0,0
120,6.0,38692,0.0,0
121,6.2,38692,0.0,0
122,7.2,38692,0.0,0
123,5.9,38692,0.0,0
124,7.1,38696,0.0,0
125,5.7,38708,0.0,0
126,6.3,38712,0.0,0
127,6.4,38712,0.0,0
128,6.4,38712,0.0,0
129,5.5,38724,0.0,0
130,6.6,38724,0.0,0
131,5.7,38724,0.0,0
132,6.1,38736,0.0,0
133,6.5,38744,0.0,0
134,6.5,38744,0.0,0
135,4.8,38744,0.0,0
136,5.3,38748,0.0,0
137,6.4,38748,0.0,0
138,5.9,38748,0.0,0
139,6.1,38748,0.0,0
140,5.9,38748,0.0,0
141,5.8,38748,0.0,0
142,5.9,38756,0.0,0
143,6.8,38756,0.0,0
144,6.1,38756,0.0,0
145,6.1,38756,0.0,0
146,7.0,38784,0.0,0
147,5.5,38784,0.0,0
148,6.2,38784,0.0,0
149,6.5,38784,0.0,0
150,7.0,38784,0.0,0
151,5.9,38784,0.0,0
152,6.6,38788,0.0,0
153,6.3,38792,0.0,0
154,4.2,38796,0.0,0
155,5.9,38796,0.0,0
156,5.9,38796,0.0,0
157,5.8,38800,0.0,0
158,6.1,38804,0.0,0
159,5.9,38804,0.0,0
160,5.6,38804,0.0,0
161,5.7,38804,0.0,0
162,7.1,38808,0.0,0
163,5.7,38808,0.0,0
164,4.7,38808,0.0,0
165,6.2,38808,0.0,0
166,6.2,38808,0.0,0
167,5.7,38808,0.0,0
168,6.0,38808,0.0,0
169,5.6,38808,0.0,0
170,7.1,38808,0.0,0
171,6.9,38808,0.0,0
172,6.5,38808,0.0,0
173,5.9,38812,0.0,0
174,6.1,38812,0.0,0
175,6.6,38812,0.0,0
176,6.7,38816,0.0,0
177,5.8,38816,0.0,0
178,8.2,38824,0.0,0
179,9.7,38832,0.0,0
180,10.2,38844,0.0,0
