elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,616,0.0,0
1,14.8,35476,0.0,0
2,3.2,35984,0.0,0
3,4.4,36100,0.0,0
4,3.9,36320,0.0,0
5,4.2,36248,0.0,0
6,5.9,36164,0.0,0
7,6.1,36128,0.0,0
8,5.0,36136,0.0,0
9,6.2,36388,0.0,0
10,6.3,36140,0.0,0
11,5.3,36156,0.0,0
12,6.0,36156,0.0,0
13,7.4,36156,0.0,0
14,6.0,36164,0.0,0
15,7.2,36200,0.0,0
16,7.0,36228,0.0,0
17,6.7,36204,0.0,0
18,6.1,36204,0.0,0
19,7.1,36204,0.0,0
20,6.8,36248,0.0,0
21,4.7,36248,0.0,0
22,4.8,36332,0.0,0
23,4.9,36332,0.0,0
24,6.3,36356,0.0,0
25,7.2,36360,0.0,0
26,5.9,36360,0.0,0
27,7.2,36360,0.0,0
28,5.1,36376,0.0,0
29,5.6,36380,0.0,0
30,6.6,36380,0.0,0
31,7.3,36380,0.0,0
32,5.7,36380,0.0,0
33,7.4,36380,0.0,0
34,6.7,36388,0.0,0
35,5.6,36388,0.0,0
36,6.0,36388,0.0,0
37,6.8,36388,0.0,0
38,7.0,36384,0.0,0
39,6.2,36384,0.0,0
40,6.0,36364,0.0,0
41,5.1,36388,0.0,0
42,5.3,36372,0.0,0
43,6.0,36388,0.0,0
44,6.5,36388,0.0,0
45,6.0,36388,0.0,0
46,6.2,36388,0.0,0
47,7.8,36400,0.0,0
48,6.2,36400,0.0,0
49,6.8,36400,0.0,0
50,6.5,36372,0.0,0
51,6.5,36372,0.0,0
52,6.4,36376,0.0,0
53,7.7,36380,0.0,0
54,5.5,36388,0.0,0
55,7.3,36392,0.0,0
56,8.2,36392,0.0,0
57,6.5,36404,0.0,0
58,6.4,36404,0.0,0
59,6.4,36424,0.0,0
60,6.1,36432,0.0,0
61,8.2,36436,0.0,0
62,7.1,36412,0.0,0
63,6.4,36416,0.0,0
64,6.2,36412,0.0,0
65,8.0,36448,0.0,0
66,7.2,36480,0.0,0
67,7.3,36516,0.0,0
68,6.2,36520,0.0,0
69,7.4,36520,0.0,0
70,6.9,36516,0.0,0
71,7.0,36524,0.0,0
72,6.2,36544,0.0,0
73,6.8,36544,0.0,0
74,7.8,36532,0.0,0
75,7.9,36564,0.0,0
76,7.1,36564,0.0,0
77,7.0,36564,0.0,0
78,7.5,36560,0.0,0
79,7.3,36564,0.0,0
80,7.1,36568,0.0,0
81,7.4,36568,0.0,0
82,11.9,36668,0.0,0
83,10.0,36732,0.0,0
84,12.6,36772,0.0,0
85,10.1,36784,0.0,0
86,10.9,36788,0.0,0
87,10.0,36836,0.0,0
88,7.1,36980,0.0,0
89,7.1,36972,0.0,0
90,6.5,36964,0.0,0
91,6.9,36980,0.0,0
92,5.7,36964,0.0,0
93,8.1,36980,0.0,0
94,6.7,36948,0.0,0
95,7.4,36948,0.0,0
96,6.5,36964,0.0,0
97,7.0,36992,0.0,0
98,7.5,36964,0.0,0
99,7.3,36968,0.0,0
100,6.2,36976,0.0,0
101,4.6,36976,0.0,0
102,7.0,37004,0.0,0
103,6.5,37004,0.0,0
104,6.7,37004,0.0,0
105,7.4,37004,0.0,0
106,6.2,37016,0.0,0
107,7.0,37016,0.0,0
108,6.3,37016,0.0,0
109,11.5,37024,0.0,0
110,8.9,37012,0.0,0
111,12.2,37056,0.0,0
112,12.2,37720,0.0,0
113,7.1,38216,0.0,0
114,7.7,38224,0.0,0
