elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,100,0.0,0
1,16.6,35544,0.0,0
2,5.4,36108,0.0,0
3,6.4,36268,0.0,0
4,7.0,36204,0.0,0
5,8.9,36968,0.0,0
6,9.7,35816,0.0,0
7,9.0,35936,0.0,0
8,9.9,36100,0.0,0
9,8.5,35776,0.0,0
10,8.4,35860,0.0,0
11,8.6,35852,0.0,0
12,12.1,35876,0.0,0
13,8.5,37216,0.0,0
14,12.6,37848,0.0,0
15,3.7,38632,0.0,0
16,8.1,38700,0.0,0
17,12.2,38736,0.0,0
18,11.2,38792,0.0,0
19,8.0,38812,0.0,0
20,6.4,38972,0.0,0
21,6.2,39020,0.0,0
22,6.1,39064,0.0,0
23,3.8,39108,0.0,0
24,5.0,39212,0.0,0
25,7.6,39204,0.0,0
26,6.4,39212,0.0,0
27,5.6,39216,0.0,0
28,5.4,39212,0.0,0
29,5.1,39212,0.0,0
30,5.2,39236,0.0,0
31,6.6,39252,0.0,0
32,8.7,39260,0.0,0
33,7.5,39248,0.0,0
34,6.3,39252,0.0,0
35,6.4,39256,0.0,0
36,7.6,39296,0.0,0
37,8.2,39280,0.0,0
38,6.9,39352,0.0,0
39,7.5,39356,0.0,0
40,6.8,39364,0.0,0
41,5.8,39364,0.0,0
42,6.1,39416,0.0,0
43,5.0,39436,0.0,0
44,4.8,39436,0.0,0
45,5.3,39440,0.0,0
46,6.0,39448,0.0,0
47,8.8,39444,0.0,0
48,7.1,39396,0.0,0
49,6.0,39352,0.0,0
50,6.0,39352,0.0,0
51,6.3,39312,0.0,0
52,5.8,39332,0.0,0
53,11.8,39352,0.0,0
54,4.6,39352,0.0,0
55,7.8,38944,0.0,0
56,6.6,39360,0.0,0
57,6.5,39340,0.0,0
58,6.5,39348,0.0,0
59,11.2,39356,0.0,0
60,9.4,39400,0.0,0
61,10.3,39468,0.0,0
62,11.3,39480,0.0,0
63,5.7,39480,0.0,0
64,5.5,39488,0.0,0
65,5.5,39508,0.0,0
66,4.1,39508,0.0,0
67,6.8,39484,0.0,0
68,8.5,39500,0.0,0
69,6.2,39504,0.0,0
70,6.2,39504,0.0,0
71,7.8,39504,0.0,0
72,7.9,39512,0.0,0
73,8.2,39496,0.0,0
74,8.6,39596,0.0,0
75,6.3,39596,0.0,0
76,6.3,39600,0.0,0
77,4.6,39636,0.0,0
78,5.7,39592,0.0,0
79,8.9,39612,0.0,0
80,8.4,39612,0.0,0
81,7.6,39612,0.0,0
82,5.9,39620,0.0,0
83,8.1,39628,0.0,0
84,6.7,39644,0.0,0
85,6.6,39648,0.0,0
86,6.0,39648,0.0,0
87,5.5,39680,0.0,0
88,8.3,39676,0.0,0
89,8.7,39680,0.0,0
90,7.0,39696,0.0,0
91,6.3,39700,0.0,0
92,6.4,39728,0.0,0
93,6.5,39728,0.0,0
94,7.4,39736,0.0,0
95,6.6,39752,0.0,0
96,5.5,39720,0.0,0
97,7.6,39724,0.0,0
98,8.4,39740,0.0,0
99,5.6,39740,0.0,0
100,5.0,39740,0.0,0
101,6.2,39748,0.0,0
102,5.6,39752,0.0,0
103,6.4,39752,0.0,0
104,5.6,39756,0.0,0
105,6.9,39752,0.0,0
106,9.3,39796,0.0,0
107,6.5,39804,0.0,0
108,4.8,39808,0.0,0
109,5.5,39808,0.0,0
110,8.1,39764,0.0,0
111,7.0,39788,0.0,0
112,6.5,39788,0.0,0
113,7.1,39796,0.0,0
114,6.8,39796,0.0,0
115,7.2,39788,0.0,0
116,6.9,39692,0.0,0
117,8.6,39800,0.0,0
118,5.8,39800,0.0,0
119,7.6,39804,0.0,0
120,6.0,39828,0.0,0
121,4.7,39832,0.0,0
122,7.6,39836,0.0,0
123,7.7,39820,0.0,0
124,7.3,39856,0.0,0
125,6.3,39828,0.0,0
