elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,2372,0.0,0
1,18.4,35216,0.0,0
2,2.6,35912,0.0,0
3,4.0,36084,0.0,0
4,4.4,36076,0.0,0
5,3.8,36184,0.0,0
6,4.3,36180,0.0,0
7,4.3,36204,0.0,0
8,4.6,36204,0.0,0
9,5.0,36212,0.0,0
10,4.3,36216,0.0,0
11,3.6,36184,0.0,0
12,2.2,36204,0.0,0
13,3.8,36192,0.0,0
14,4.6,36204,0.0,0
15,6.6,36264,0.0,0
16,8.1,36328,0.0,0
17,5.4,36456,0.0,0
18,3.9,36456,0.0,0
19,4.5,36688,0.0,0
20,5.2,36664,0.0,0
21,3.1,36704,0.0,0
22,4.4,36708,0.0,0
23,3.4,36696,0.0,0
24,4.0,36696,0.0,0
25,6.6,36760,0.0,0
26,5.8,36788,0.0,0
27,7.3,36776,0.0,0
28,6.4,36848,0.0,0
29,13.4,36928,0.0,0
30,8.9,36940,0.0,0
31,4.5,36964,0.0,0
32,3.5,36968,0.0,0
33,5.3,37008,0.0,0
34,9.3,37016,0.0,0
35,11.5,37028,0.0,0
36,11.8,38748,0.0,0
37,12.3,38304,0.0,0
38,6.5,38316,0.0,0
39,6.4,38348,0.0,0
40,5.1,38324,0.0,0
41,5.7,38336,0.0,0
42,5.3,38340,0.0,0
43,4.4,38392,0.0,0
44,5.1,38408,0.0,0
45,4.7,38408,0.0,0
46,4.3,38408,0.0,0
47,6.3,39024,0.0,0
48,6.4,39024,0.0,0
49,4.9,38988,0.0,0
50,6.3,39020,0.0,0
51,5.9,39024,0.0,0
52,5.3,39028,0.0,0
53,6.2,39032,0.0,0
54,5.6,39048,0.0,0
55,4.2,39048,0.0,0
56,6.7,39040,0.0,0
57,5.3,39048,0.0,0
58,5.3,39056,0.0,0
59,6.7,39056,0.0,0
60,6.2,39064,0.0,0
61,7.6,39068,0.0,0
62,6.7,39076,0.0,0
63,5.1,39076,0.0,0
64,3.4,39076,0.0,0
65,4.0,39076,0.0,0
66,4.1,39076,0.0,0
67,4.6,39076,0.0,0
68,7.2,39080,0.0,0
69,6.3,39096,0.0,0
70,6.3,39100,0.0,0
71,6.2,39100,0.0,0
72,14.0,39124,0.0,0
73,8.6,39120,0.0,0
74,6.4,38768,0.0,0
75,6.0,38776,0.0,0
76,5.4,38776,0.0,0
77,4.4,38752,0.0,0
78,4.9,38772,0.0,0
79,6.1,38776,0.0,0
80,8.5,38788,0.0,0
81,10.9,38808,0.0,0
82,7.4,38848,0.0,0
83,6.0,38876,0.0,0
84,13.0,38904,0.0,0
85,9.9,40252,0.0,0
86,24.2,40608,0.0,0
87,12.3,40936,0.0,0
88,12.6,41028,0.0,0
89,16.9,47260,0.0,0
90,7.6,47264,0.0,0
91,6.4,47276,0.0,0
92,6.2,47288,0.0,0
93,11.7,47372,0.0,0
94,10.3,47408,0.0,0
95,5.8,47672,0.0,0
96,5.2,47708,0.0,0
97,5.1,47700,0.0,0
98,4.2,47608,0.0,0
99,7.0,47200,0.0,0
100,8.7,47292,0.0,0
101,10.5,47036,0.0,0
102,12.5,47136,0.0,0
103,12.3,47116,0.0,0
104,13.2,47216,0.0,0
105,15.9,47844,0.0,0
106,14.2,47420,0.0,0
107,14.7,47832,0.0,0
108,10.9,48252,0.0,0
109,10.5,47924,0.0,0
110,10.6,47984,0.0,0
111,10.1,47688,0.0,0
112,13.3,47652,0.0,0
113,19.3,48416,0.0,0
114,9.2,48392,0.0,0
115,8.9,48408,0.0,0
116,9.2,48416,0.0,0
117,9.9,48436,0.0,0
118,5.3,48444,0.0,0
119,5.2,48472,0.0,0
120,7.7,48164,0.0,0
121,6.8,48168,0.0,0
122,7.3,48176,0.0,0
123,7.7,48160,0.0,0
124,8.6,48280,0.0,0
125,8.2,48256,0.0,0
126,8.2,48244,0.0,0
127,9.7,48272,0.0,0
128,9.4,48252,0.0,0
129,8.5,48048,0.0,0
130,8.9,48024,0.0,0
131,8.5,48036,0.0,0
132,9.4,48144,0.0,0
133,10.5,48100,0.0,0
134,10.3,48116,0.0,0
135,10.5,48108,0.0,0
136,10.0,48056,0.0,0
137,8.0,48200,0.0,0
138,7.5,48112,0.0,0
139,9.0,48120,0.0,0
140,12.9,48140,0.0,0
141,5.7,48600,0.0,0
142,4.9,48564,0.0,0
143,5.4,48588,0.0,0
144,9.2,48592,0.0,0
145,7.6,48596,0.0,0
146,7.7,48620,0.0,0
147,10.5,48636,0.0,0
148,13.7,48652,0.0,0
149,21.7,49176,0.0,0
150,7.5,49208,0.0,0
151,9.6,49244,0.0,0
152,10.9,49256,0.0,0
153,8.1,49272,0.0,0
154,5.6,49272,0.0,0
155,6.4,49260,0.0,0
156,8.3,49280,0.0,0
157,8.2,49292,0.0,0
158,6.5,49224,0.0,0
159,7.8,49200,0.0,0
160,10.7,49216,0.0,0
161,9.2,49236,0.0,0
162,10.5,49268,0.0,0
163,4.2,49268,0.0,0
164,9.5,49296,0.0,0
165,5.4,49320,0.0,0
166,7.1,49324,0.0,0
167,6.6,49348,0.0,0
168,9.5,49372,0.0,0
169,8.9,49408,0.0,0
170,8.8,49432,0.0,0
171,6.1,49424,0.0,0
172,4.9,49412,0.0,0
173,5.0,49404,0.0,0
174,4.3,49432,0.0,0
175,5.2,49424,0.0,0
176,6.4,49424,0.0,0
177,6.5,49416,0.0,0
178,16.4,49096,0.0,0
179,6.1,49176,0.0,0
180,8.3,49260,0.0,0
181,6.3,49316,0.0,0
182,6.0,49112,0.0,0
183,5.5,49068,0.0,0
184,5.2,49068,0.0,0
185,5.3,49072,0.0,0
186,6.3,49072,0.0,0
187,6.8,49096,0.0,0
188,5.8,49040,0.0,0
189,6.9,49024,0.0,0
190,5.1,49024,0.0,0
191,4.9,49044,0.0,0
192,5.3,49044,0.0,0
193,5.5,49048,0.0,0
194,4.2,49068,0.0,0
195,4.7,49068,0.0,0
196,4.3,49068,0.0,0
197,4.8,49068,0.0,0
198,5.4,49072,0.0,0
199,4.9,49088,0.0,0
200,6.2,49052,0.0,0
201,5.9,49068,0.0,0
202,2.7,49068,0.0,0
203,2.9,49032,0.0,0
204,2.7,49032,0.0,0
205,3.0,49048,0.0,0
206,2.5,49068,0.0,0
207,3.5,49068,0.0,0
208,4.1,49068,0.0,0
209,4.4,49036,0.0,0
210,4.6,49052,0.0,0
211,4.8,49036,0.0,0
212,5.0,49020,0.0,0
213,5.0,49048,0.0,0
214,5.9,49052,0.0,0
215,3.4,49036,0.0,0
216,3.9,49036,0.0,0
217,5.6,49036,0.0,0
218,5.5,49064,0.0,0
219,6.1,49064,0.0,0
220,6.7,49020,0.0,0
221,5.1,49020,0.0,0
222,5.5,49020,0.0,0
223,6.1,49048,0.0,0
224,5.3,49052,0.0,0
225,5.1,49056,0.0,0
226,12.3,49076,0.0,0
227,4.9,49080,0.0,0
228,4.0,49244,0.0,0
229,5.3,49244,0.0,0
230,6.1,49248,0.0,0
231,5.8,49084,0.0,0
232,6.2,49108,0.0,0
233,5.7,49088,0.0,0
234,6.4,49088,0.0,0
235,6.1,49088,0.0,0
236,5.1,49072,0.0,0
237,4.7,49112,0.0,0
238,4.3,49112,0.0,0
239,5.2,49112,0.0,0
240,5.9,49112,0.0,0
241,7.2,49088,0.0,0
242,6.7,49080,0.0,0
243,6.3,49104,0.0,0
244,5.5,49080,0.0,0
245,5.9,49080,0.0,0
246,6.0,49100,0.0,0
247,5.6,49100,0.0,0
248,5.1,49100,0.0,0
249,5.5,49108,0.0,0
250,3.5,49124,0.0,0
251,4.3,49116,0.0,0
252,4.9,49116,0.0,0
253,5.2,49116,0.0,0
254,6.1,49116,0.0,0
255,6.1,49080,0.0,0
256,5.9,49088,0.0,0
257,6.3,49088,0.0,0
258,5.1,49068,0.0,0
259,4.3,49100,0.0,0
260,4.7,49100,0.0,0
261,4.7,49100,0.0,0
262,5.3,49116,0.0,0
263,6.0,49120,0.0,0
264,6.5,49112,0.0,0
265,6.6,49076,0.0,0
266,6.2,49088,0.0,0
267,5.0,49076,0.0,0
268,5.7,49104,0.0,0
269,5.6,49096,0.0,0
270,5.4,49096,0.0,0
271,5.0,49096,0.0,0
272,5.9,49084,0.0,0
273,6.5,49096,0.0,0
274,6.6,49092,0.0,0
275,5.8,49092,0.0,0
276,5.9,49068,0.0,0
277,5.7,49076,0.0,0
278,5.3,49124,0.0,0
279,6.0,49076,0.0,0
280,5.1,49076,0.0,0
281,4.5,49104,0.0,0
282,4.7,49108,0.0,0
283,4.8,49092,0.0,0
284,5.3,49060,0.0,0
285,6.5,49060,0.0,0
286,5.7,49060,0.0,0
287,6.0,49108,0.0,0
288,5.7,49108,0.0,0
289,5.7,49108,0.0,0
290,4.7,49108,0.0,0
291,5.3,49116,0.0,0
292,4.4,49104,0.0,0
293,4.9,49108,0.0,0
294,5.8,49084,0.0,0
295,6.0,49084,0.0,0
296,6.7,49104,0.0,0
297,6.4,49088,0.0,0
298,6.5,49088,0.0,0
299,6.4,49232,0.0,0
300,6.5,49240,0.0,0
301,5.4,49240,0.0,0
302,4.6,49212,0.0,0
303,5.2,49212,0.0,0
304,5.2,49212,0.0,0
305,6.1,49232,0.0,0
306,7.1,49240,0.0,0
307,6.4,49240,0.0,0
308,6.6,49240,0.0,0
309,6.1,49240,0.0,0
310,5.9,49240,0.0,0
311,5.3,49212,0.0,0
312,5.5,49240,0.0,0
313,6.0,49240,0.0,0
314,4.9,49244,0.0,0
315,3.7,49244,0.0,0
316,4.8,49216,0.0,0
317,5.8,49216,0.0,0
318,5.8,49240,0.0,0
319,6.5,49272,0.0,0
