elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,164,0.0,0
1,9.1,61832,0.0,0
2,5.5,62756,0.0,0
3,5.2,63164,0.0,0
4,5.7,63232,0.0,0
5,4.9,63064,0.0,0
6,4.0,63144,0.0,0
7,6.0,63252,0.0,0
8,5.5,63196,0.0,0
9,6.2,63064,0.0,0
10,6.3,63048,0.0,0
12,6.0,63084,0.0,0
13,6.1,62924,0.0,0
14,3.3,62936,0.0,0
15,4.9,63168,0.0,0
16,8.0,63228,0.0,0
17,4.2,63168,0.0,0
18,6.8,63232,0.0,0
19,6.6,63328,0.0,0
20,5.5,63232,0.0,0
21,5.5,63096,0.0,0
22,4.9,63096,0.0,0
23,6.3,63096,0.0,0
25,4.8,62936,0.0,0
26,5.3,62960,0.0,0
27,4.8,62960,0.0,0
28,6.1,63256,0.0,0
29,5.6,63196,0.0,0
30,5.9,63260,0.0,0
31,6.1,63360,0.0,0
32,5.8,63264,0.0,0
33,5.3,63128,0.0,0
34,5.9,63128,0.0,0
35,6.1,63128,0.0,0
37,5.6,62968,0.0,0
38,6.0,63128,0.0,0
39,5.8,62968,0.0,0
40,5.8,63260,0.0,0
41,7.0,63200,0.0,0
42,6.5,63264,0.0,0
43,7.1,63360,0.0,0
44,6.2,63264,0.0,0
45,6.2,63128,0.0,0
46,4.4,63128,0.0,0
48,6.3,63128,0.0,0
49,5.6,62972,0.0,0
50,5.8,62972,0.0,0
51,6.1,63208,0.0,0
52,7.7,63284,0.0,0
53,6.4,63244,0.0,0
54,7.3,63312,0.0,0
55,6.1,63408,0.0,0
56,6.8,63312,0.0,0
57,6.7,63180,0.0,0
58,5.3,63180,0.0,0
59,5.8,63180,0.0,0
