elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,0.0,1072,0.0,0
1,14.7,35760,0.0,0
2,3.2,36264,0.0,0
3,3.4,36440,0.0,0
4,4.6,36564,0.0,0
5,7.8,36560,0.0,0
6,11.6,36404,0.0,0
7,9.7,36428,0.0,0
8,9.8,36552,0.0,0
9,11.1,36464,0.0,0
10,13.1,36372,0.0,0
11,12.3,36980,0.0,0
12,16.1,36888,0.0,0
13,12.7,37404,0.0,0
14,10.2,36140,0.0,0
15,10.2,36212,0.0,0
16,4.4,36220,0.0,0
17,8.7,36240,0.0,0
18,14.6,36280,0.0,0
19,13.1,36340,0.0,0
20,10.8,36400,0.0,0
21,9.4,36392,0.0,0
22,10.2,36448,0.0,0
23,10.9,36588,0.0,0
24,11.5,36440,0.0,0
25,12.5,37136,0.0,0
26,11.9,36644,0.0,0
27,10.1,36680,0.0,0
28,15.3,36732,0.0,0
29,10.1,36728,0.0,0
30,14.3,36796,0.0,0
31,12.6,36768,0.0,0
32,7.5,36836,0.0,0
33,7.4,36700,0.0,0
34,14.7,36720,0.0,0
35,9.0,36856,0.0,0
36,7.0,36924,0.0,0
37,9.8,37588,0.0,0
38,9.0,37556,0.0,0
39,5.9,37592,0.0,0
40,8.8,37596,0.0,0
41,6.6,37612,0.0,0
42,7.6,37612,0.0,0
43,9.0,37616,0.0,0
44,13.4,37540,0.0,0
45,10.2,37516,0.0,0
46,11.0,37528,0.0,0
47,7.6,37536,0.0,0
48,8.3,37536,0.0,0
49,7.2,37544,0.0,0
50,9.4,37532,0.0,0
51,7.3,37544,0.0,0
52,9.7,37592,0.0,0
53,8.2,37604,0.0,0
54,5.7,37616,0.0,0
55,6.9,37616,0.0,0
56,9.4,37624,0.0,0
57,8.3,36860,0.0,0
58,8.3,37640,0.0,0
59,7.5,37648,0.0,0
60,6.9,37648,0.0,0
61,7.7,37648,0.0,0
62,7.4,37648,0.0,0
63,8.1,37648,0.0,0
64,8.6,37656,0.0,0
65,8.0,37676,0.0,0
66,8.4,37652,0.0,0
67,7.6,37652,0.0,0
68,7.3,37656,0.0,0
69,7.8,37708,0.0,0
70,8.8,37700,0.0,0
71,7.5,37708,0.0,0
72,8.3,37708,0.0,0
73,6.5,37712,0.0,0
74,9.0,37724,0.0,0
75,9.8,37732,0.0,0
76,7.3,37740,0.0,0
77,6.5,37740,0.0,0
78,9.2,37740,0.0,0
79,7.6,37740,0.0,0
80,7.5,37748,0.0,0
81,7.7,37752,0.0,0
82,9.6,37764,0.0,0
83,8.4,37772,0.0,0
84,8.1,37776,0.0,0
85,7.4,37776,0.0,0
86,10.0,37780,0.0,0
87,8.2,37784,0.0,0
88,10.3,37812,0.0,0
89,6.8,37812,0.0,0
90,7.6,37812,0.0,0
91,6.9,37812,0.0,0
92,7.8,37824,0.0,0
93,13.9,37820,0.0,0
94,9.6,37824,0.0,0
95,12.5,37856,0.0,0
96,14.6,37868,0.0,0
97,9.8,37872,0.0,0
98,13.0,37872,0.0,0
99,13.6,39948,0.0,0
100,7.3,40056,0.0,0
101,9.6,40228,0.0,0
102,6.8,40260,0.0,0
103,7.5,42772,0.0,0
104,7.7,42328,0.0,0
105,6.5,42392,0.0,0
106,8.7,41780,0.0,0
107,8.0,41768,0.0,0
108,13.5,41528,0.0,0
109,6.6,41536,0.0,0
110,6.6,41616,0.0,0
111,3.8,41628,0.0,0
112,4.1,41664,0.0,0
113,4.6,41664,0.0,0
114,4.4,41764,0.0,0
115,9.4,41788,0.0,0
116,9.4,41864,0.0,0
117,6.1,41864,0.0,0
118,6.9,41872,0.0,0
119,6.9,41864,0.0,0
120,5.0,41868,0.0,0
121,5.9,41868,0.0,0
122,10.7,41808,0.0,0
123,12.2,41820,0.0,0
124,7.2,41820,0.0,0
125,6.5,41808,0.0,0
126,10.7,41824,0.0,0
127,7.8,41840,0.0,0
128,6.4,41844,0.0,0
129,6.3,41840,0.0,0
130,7.0,41840,0.0,0
131,6.5,41856,0.0,0
132,4.6,41856,0.0,0
133,6.9,41876,0.0,0
134,6.5,41952,0.0,0
135,12.3,41952,0.0,0
136,11.6,41956,0.0,0
137,13.4,41976,0.0,0
138,12.3,41156,0.0,0
139,7.4,40852,0.0,0
140,5.9,40852,0.0,0
141,7.0,40836,0.0,0
142,8.3,40836,0.0,0
143,6.3,40760,0.0,0
144,7.5,40764,0.0,0
145,5.6,40764,0.0,0
