elapsed_seconds,app_cpu_percent,app_rss_kb,vtdecoder_cpu_percent,vtdecoder_rss_kb
0,1.1,1264,0.0,0
1,14.4,36952,0.0,0
2,3.1,37544,0.0,0
3,8.3,36572,0.0,0
4,4.8,36572,0.0,0
5,4.8,36620,0.0,0
6,5.7,36448,0.0,0
7,4.9,36636,0.0,0
8,7.6,37308,0.0,0
9,7.6,37428,0.0,0
10,6.7,37452,0.0,0
11,5.7,37760,0.0,0
12,7.6,38480,0.0,0
13,10.2,38312,0.0,0
14,8.9,39380,0.0,0
15,8.3,39584,0.0,0
16,10.3,39676,0.0,0
17,3.5,39680,0.0,0
18,5.5,39760,0.0,0
19,5.1,39768,0.0,0
20,5.0,39616,0.0,0
21,5.5,39632,0.0,0
22,5.5,39656,0.0,0
23,5.0,39656,0.0,0
24,5.8,39540,0.0,0
25,4.0,39592,0.0,0
26,4.9,39584,0.0,0
27,5.4,39588,0.0,0
28,4.7,39592,0.0,0
29,5.5,39616,0.0,0
30,5.9,39616,0.0,0
31,5.8,39620,0.0,0
32,5.6,39624,0.0,0
33,5.6,39648,0.0,0
34,5.2,39648,0.0,0
35,5.7,39648,0.0,0
36,8.7,39648,0.0,0
37,8.3,39656,0.0,0
38,6.1,39940,0.0,0
39,5.3,39940,0.0,0
40,5.9,39940,0.0,0
41,7.7,39880,0.0,0
42,9.7,39892,0.0,0
43,12.6,39912,0.0,0
44,6.7,39932,0.0,0
45,22.4,45564,0.0,0
46,10.4,46372,0.0,0
47,8.0,46660,0.0,0
48,11.0,46684,0.0,0
49,9.7,46704,0.0,0
50,6.0,47068,0.0,0
51,10.0,47100,0.0,0
52,12.6,46860,0.0,0
53,9.3,46988,0.0,0
54,9.1,48004,0.0,0
55,9.3,47992,0.0,0
56,12.9,47708,0.0,0
57,11.7,47724,0.0,0
58,9.5,47744,0.0,0
59,6.7,47748,0.0,0
60,8.7,47760,0.0,0
61,9.3,47768,0.0,0
62,7.9,47784,0.0,0
63,5.2,47740,0.0,0
64,5.7,47652,0.0,0
65,5.4,47652,0.0,0
66,4.9,47652,0.0,0
67,7.8,47656,0.0,0
68,11.0,47912,0.0,0
69,6.7,47716,0.0,0
70,11.2,47728,0.0,0
71,11.7,47660,0.0,0
72,8.9,47676,0.0,0
73,10.3,47956,0.0,0
74,11.0,47972,0.0,0
75,11.8,47784,0.0,0
76,11.2,47808,0.0,0
77,11.9,47948,0.0,0
78,7.2,47968,0.0,0
79,10.4,48096,0.0,0
80,8.3,48320,0.0,0
81,5.3,48004,0.0,0
82,5.0,47988,0.0,0
83,4.0,47988,0.0,0
84,8.0,47996,0.0,0
85,9.3,48220,0.0,0
86,7.7,48244,0.0,0
87,5.9,48248,0.0,0
88,5.2,48248,0.0,0
89,5.4,48252,0.0,0
90,5.2,48252,0.0,0
91,5.2,48252,0.0,0
92,5.8,48252,0.0,0
93,5.9,48252,0.0,0
94,6.0,48252,0.0,0
95,5.4,48252,0.0,0
96,5.9,48252,0.0,0
97,8.2,48256,0.0,0
98,6.4,48076,0.0,0
99,5.6,48076,0.0,0
100,5.3,48076,0.0,0
101,12.9,48092,0.0,0
102,15.1,49532,0.0,0
103,10.6,49548,0.0,0
104,7.9,49572,0.0,0
105,9.7,49592,0.0,0
106,8.3,49620,0.0,0
107,12.0,49648,0.0,0
108,9.3,49680,0.0,0
109,10.8,49700,0.0,0
110,11.9,49736,0.0,0
111,7.8,49672,0.0,0
112,9.7,49800,0.0,0
113,8.1,49824,0.0,0
114,10.2,49840,0.0,0
115,7.5,49356,0.0,0
116,9.6,49432,0.0,0
117,5.9,49432,0.0,0
118,5.8,49432,0.0,0
119,5.2,49432,0.0,0
120,5.6,49436,0.0,0
121,5.9,49388,0.0,0
122,6.0,49388,0.0,0
123,6.1,49388,0.0,0
124,5.6,49388,0.0,0
125,5.6,49392,0.0,0
126,5.7,49392,0.0,0
127,5.4,49392,0.0,0
128,6.4,49392,0.0,0
129,5.5,49392,0.0,0
130,5.1,49392,0.0,0
131,5.7,49392,0.0,0
132,5.8,49392,0.0,0
133,6.1,49392,0.0,0
134,6.2,49392,0.0,0
135,5.3,49392,0.0,0
136,5.7,49392,0.0,0
137,5.4,49392,0.0,0
138,5.4,49392,0.0,0
139,5.9,49392,0.0,0
140,5.8,49392,0.0,0
141,4.7,49392,0.0,0
142,5.9,49392,0.0,0
143,5.4,49392,0.0,0
144,5.8,49392,0.0,0
145,5.4,49392,0.0,0
146,5.6,49392,0.0,0
147,5.8,49392,0.0,0
148,6.0,49392,0.0,0
149,5.0,49392,0.0,0
150,5.4,49392,0.0,0
151,5.2,49392,0.0,0
152,6.0,49392,0.0,0
153,5.6,49392,0.0,0
154,5.9,49392,0.0,0
155,5.5,49392,0.0,0
156,6.0,49392,0.0,0
157,6.0,49392,0.0,0
158,5.4,49392,0.0,0
159,5.8,49392,0.0,0
160,4.9,49392,0.0,0
161,4.8,49392,0.0,0
162,5.3,49392,0.0,0
163,5.3,49392,0.0,0
164,4.8,49392,0.0,0
165,5.7,49392,0.0,0
166,5.9,49392,0.0,0
167,5.3,49392,0.0,0
168,5.8,49392,0.0,0
169,5.5,49392,0.0,0
170,4.8,49392,0.0,0
171,6.0,49392,0.0,0
172,5.5,49392,0.0,0
173,5.0,49392,0.0,0
174,5.7,49392,0.0,0
175,5.6,49392,0.0,0
176,5.0,49392,0.0,0
177,5.9,49392,0.0,0
178,5.3,49392,0.0,0
179,4.8,49392,0.0,0
180,5.8,49392,0.0,0
181,5.7,49392,0.0,0
182,5.8,49392,0.0,0
183,5.7,49392,0.0,0
184,6.0,49392,0.0,0
185,5.6,49392,0.0,0
186,5.4,49392,0.0,0
187,4.5,49392,0.0,0
188,6.1,49392,0.0,0
189,5.7,49392,0.0,0
190,5.8,49392,0.0,0
191,5.7,49392,0.0,0
192,5.2,49392,0.0,0
193,5.8,49392,0.0,0
194,5.7,49392,0.0,0
195,5.7,49392,0.0,0
196,5.8,49392,0.0,0
197,4.6,49392,0.0,0
198,5.6,49392,0.0,0
199,5.9,49392,0.0,0
200,5.7,49392,0.0,0
201,4.7,49392,0.0,0
202,5.8,49392,0.0,0
203,5.6,49392,0.0,0
204,5.2,49392,0.0,0
205,4.5,49392,0.0,0
206,5.0,49392,0.0,0
207,5.5,49392,0.0,0
208,5.9,49392,0.0,0
209,5.4,49392,0.0,0
210,5.2,49392,0.0,0
211,5.7,49392,0.0,0
212,5.8,49392,0.0,0
213,5.4,49392,0.0,0
214,5.8,49392,0.0,0
215,5.1,49392,0.0,0
216,6.1,49392,0.0,0
217,5.7,49392,0.0,0
218,5.9,49392,0.0,0
219,5.8,49392,0.0,0
220,5.4,49392,0.0,0
221,5.5,49392,0.0,0
222,5.9,49392,0.0,0
223,5.6,49392,0.0,0
224,5.8,49392,0.0,0
225,5.6,49392,0.0,0
226,5.1,49392,0.0,0
227,5.8,49392,0.0,0
228,5.6,49392,0.0,0
229,5.8,49392,0.0,0
230,5.7,49392,0.0,0
231,5.0,49392,0.0,0
232,4.7,49392,0.0,0
233,5.7,49392,0.0,0
234,5.7,49392,0.0,0
235,4.9,49392,0.0,0
236,5.6,49392,0.0,0
237,5.8,49392,0.0,0
238,5.2,49392,0.0,0
239,5.6,49392,0.0,0
240,5.5,49392,0.0,0
241,4.8,49392,0.0,0
242,5.8,49392,0.0,0
243,7.2,49396,0.0,0
244,6.3,49400,0.0,0
245,8.3,49412,0.0,0
246,8.7,49424,0.0,0
247,11.0,49608,0.0,0
248,6.2,49612,0.0,0
249,5.3,49612,0.0,0
250,4.9,49612,0.0,0
251,2.1,49616,0.0,0
252,6.0,49204,0.0,0
253,3.0,49204,0.0,0
254,3.6,49204,0.0,0
255,4.2,49204,0.0,0
256,6.1,49204,0.0,0
257,5.7,49180,0.0,0
258,5.5,49184,0.0,0
259,5.8,49184,0.0,0
260,5.9,49184,0.0,0
261,5.7,49156,0.0,0
262,4.8,49312,0.0,0
263,3.8,49192,0.0,0
264,4.3,49232,0.0,0
265,1.8,49232,0.0,0
266,1.3,49236,0.0,0
267,2.5,49060,0.0,0
268,2.3,48676,0.0,0
269,1.6,48692,0.0,0
270,5.4,48484,0.0,0
271,3.9,48428,0.0,0
272,4.2,48428,0.0,0
273,3.3,48340,0.0,0
274,3.0,48356,0.0,0
275,2.7,48356,0.0,0
276,3.4,48340,0.0,0
277,3.8,48228,0.0,0
278,4.1,48228,0.0,0
279,4.6,48236,0.0,0
280,4.1,48240,0.0,0
281,2.8,48396,0.0,0
282,5.1,48432,0.0,0
283,3.2,48432,0.0,0
284,4.3,48276,0.0,0
285,4.1,48276,0.0,0
286,4.7,48320,0.0,0
287,5.0,48244,0.0,0
288,6.3,48248,0.0,0
289,6.2,48264,0.0,0
290,5.4,48264,0.0,0
291,5.8,48224,0.0,0
292,5.9,48224,0.0,0
293,5.9,48224,0.0,0
294,6.3,48224,0.0,0
295,4.8,48256,0.0,0
296,5.0,48256,0.0,0
297,5.7,48256,0.0,0
298,6.1,48256,0.0,0
299,5.7,48256,0.0,0
300,5.8,48248,0.0,0
301,5.6,48248,0.0,0
302,6.2,48248,0.0,0
303,5.9,48248,0.0,0
304,6.4,48248,0.0,0
305,5.9,48248,0.0,0
306,5.8,48304,0.0,0
307,6.3,48304,0.0,0
308,6.3,48304,0.0,0
309,6.2,48304,0.0,0
310,6.3,48236,0.0,0
311,6.0,48300,0.0,0
312,6.0,48300,0.0,0
313,5.6,48300,0.0,0
314,6.0,48300,0.0,0
315,5.7,48300,0.0,0
316,5.9,48248,0.0,0
317,5.9,48248,0.0,0
318,5.9,48244,0.0,0
319,5.4,48248,0.0,0
320,5.7,48248,0.0,0
321,5.4,48240,0.0,0
322,6.4,48240,0.0,0
323,5.7,48240,0.0,0
324,5.9,48240,0.0,0
325,5.5,48240,0.0,0
326,4.8,48240,0.0,0
327,5.7,48256,0.0,0
328,6.5,48256,0.0,0
329,5.6,48256,0.0,0
330,4.6,48256,0.0,0
331,5.7,48256,0.0,0
332,6.2,48264,0.0,0
333,5.8,48264,0.0,0
334,5.1,48264,0.0,0
335,4.8,48264,0.0,0
336,5.3,48264,0.0,0
337,5.7,48248,0.0,0
338,5.2,48248,0.0,0
339,5.8,48248,0.0,0
340,5.8,48248,0.0,0
341,5.2,48248,0.0,0
342,6.1,48248,0.0,0
343,5.7,48252,0.0,0
344,6.1,48252,0.0,0
345,5.5,48248,0.0,0
346,5.9,48252,0.0,0
347,5.9,48252,0.0,0
348,5.5,48332,0.0,0
349,6.0,48252,0.0,0
350,5.9,48252,0.0,0
351,5.8,48224,0.0,0
352,5.7,48224,0.0,0
353,6.4,48252,0.0,0
354,6.2,48252,0.0,0
355,3.9,48252,0.0,0
356,7.5,48416,0.0,0
357,6.1,48220,0.0,0
358,5.7,48240,0.0,0
359,5.9,48240,0.0,0
360,6.1,48240,0.0,0
361,5.3,48304,0.0,0
362,6.3,48368,0.0,0
363,6.1,48240,0.0,0
364,5.7,48272,0.0,0
365,6.2,48240,0.0,0
366,5.9,48240,0.0,0
367,6.5,48244,0.0,0
368,6.3,48260,0.0,0
369,6.2,48308,0.0,0
370,6.1,48292,0.0,0
371,6.1,48292,0.0,0
372,5.6,48292,0.0,0
373,5.9,48292,0.0,0
374,5.6,48256,0.0,0
375,5.1,48256,0.0,0
376,6.5,48296,0.0,0
377,5.7,48296,0.0,0
378,5.5,48296,0.0,0
379,6.1,48280,0.0,0
380,6.2,48268,0.0,0
381,6.0,48312,0.0,0
382,6.7,48296,0.0,0
383,6.1,48296,0.0,0
384,5.5,48292,0.0,0
385,6.2,48272,0.0,0
386,3.5,48272,0.0,0
387,4.2,48272,0.0,0
388,6.0,48272,0.0,0
389,6.0,48272,0.0,0
390,6.3,48280,0.0,0
391,5.6,48280,0.0,0
392,5.7,48280,0.0,0
393,6.2,48280,0.0,0
394,5.7,48280,0.0,0
395,5.2,48280,0.0,0
